"point_id","plot","easting_m","northing_m","pi_mpb_killed","pi_mpb_killed_pc","NDMI_2003","NDMI_2005","NDMI_2006","NDMI_2007","NDMI_2008","NDMI_2009","NDMI_2010","NDMI_2011","NDMI_2012","NDMI_2013","NDMI_2014"
1,1,524683.792,5447133.253,15.0241928019693,84.9091941165153,0.483670026063919,0.479346752166748,0.454188108444214,0.458674758672714,0.459284752607346,0.486239522695541,0.713840067386627,0.522000133991241,0.50672835111618,0.530042409896851,0.506684064865112
2,1,524652.042,5447134.576,15.0241928019693,84.9091941165153,0.483670026063919,0.479346752166748,0.454188108444214,0.458674758672714,0.459284752607346,0.486239522695541,0.713840067386627,0.522000133991241,0.50672835111618,0.530042409896851,0.506684064865112
3,1,524684.123,5447110.433,15.0241928019693,84.9091941165153,0.483670026063919,0.479346752166748,0.454188108444214,0.458674758672714,0.459284752607346,0.486239522695541,0.713840067386627,0.522000133991241,0.50672835111618,0.530042409896851,0.506684064865112
4,1,524653.695,5447110.102,15.0241928019693,84.9091941165153,0.483670026063919,0.479346752166748,0.454188108444214,0.458674758672714,0.459284752607346,0.486239522695541,0.713840067386627,0.522000133991241,0.50672835111618,0.530042409896851,0.506684064865112
5,2,524684.123,5447073.391,39.7510178591308,80.6718155584882,0.331355214118958,0.312943518161774,0.326572805643082,0.224371120333672,0.259986519813538,0.292975336313248,0.466822445392609,0.326983392238617,0.292935431003571,0.332041442394257,0.332408607006073
6,2,524652.373,5447074.714,39.7510178591308,80.6718155584882,0.331355214118958,0.312943518161774,0.326572805643082,0.224371120333672,0.259986519813538,0.292975336313248,0.466822445392609,0.326983392238617,0.292935431003571,0.332041442394257,0.332408607006073
7,2,524684.453,5447050.571,39.7510178591308,80.6718155584882,0.331355214118958,0.312943518161774,0.326572805643082,0.224371120333672,0.259986519813538,0.292975336313248,0.466822445392609,0.326983392238617,0.292935431003571,0.332041442394257,0.332408607006073
8,2,524654.026,5447050.24,39.7510178591308,80.6718155584882,0.331355214118958,0.312943518161774,0.326572805643082,0.224371120333672,0.259986519813538,0.292975336313248,0.466822445392609,0.326983392238617,0.292935431003571,0.332041442394257,0.332408607006073
9,3,524300.674,5447340.687,37.2124167088095,80.7369574840845,0.45753288269043,0.442701786756516,0.410535961389542,0.409310936927795,0.445031940937042,0.440707683563232,0.47359049320221,0.443359792232513,0.445694774389267,0.491601586341858,0.488665014505386
10,3,524268.924,5447342.01,37.2124167088095,80.7369574840845,0.464461654424667,0.418761909008026,0.421382069587708,0.429910510778427,0.461324036121368,0.431021958589554,0.4363893866539,0.478069990873337,0.449995398521423,0.500385761260986,0.480098783969879
11,3,524301.005,5447317.866,37.2124167088095,80.7369574840845,0.45753288269043,0.442701786756516,0.410535961389542,0.409310936927795,0.445031940937042,0.440707683563232,0.47359049320221,0.443359792232513,0.445694774389267,0.491601586341858,0.488665014505386
12,3,524270.578,5447317.536,37.2124167088095,80.7369574840845,0.464461654424667,0.418761909008026,0.421382069587708,0.429910510778427,0.461324036121368,0.431021958589554,0.4363893866539,0.478069990873337,0.449995398521423,0.500385761260986,0.480098783969879
13,4,524357.825,5447399.954,24.519410957203,82.8216273785474,0.512850761413574,0.50517350435257,0.457307696342468,0.500289797782898,0.487449526786804,0.495124489068985,0.508012354373932,0.543797850608826,0.5107182264328,0.529167592525482,0.511672914028168
14,4,524326.074,5447401.277,24.519410957203,82.8216273785474,0.511223793029785,0.511810660362244,0.494724124670029,0.486669957637787,0.491060853004456,0.503178596496582,0.504152595996857,0.535175085067749,0.505845367908478,0.534842073917389,0.532753169536591
15,4,524358.155,5447377.133,24.519410957203,82.8216273785474,0.486800760030746,0.492359578609467,0.462663173675537,0.462131261825562,0.477935701608658,0.474623411893845,0.49901819229126,0.505223572254181,0.502547323703766,0.53045254945755,0.512500703334808
16,4,524327.728,5447376.802,24.519410957203,82.8216273785474,0.481333702802658,0.51595538854599,0.495064437389374,0.484516203403473,0.492198020219803,0.470555067062378,0.494153767824173,0.505691707134247,0.512280642986298,0.537978887557983,0.512847781181335
17,5,524301.733,5447402.07,6.64870741023682,89.0634714879892,0.548917949199677,0.525301098823547,0.501134097576141,0.51334273815155,0.50029045343399,0.515997886657715,0.499777615070343,0.506737589836121,0.521496832370758,0.539243400096893,0.512025117874146
18,5,524269.983,5447403.393,6.64870741023682,89.0634714879892,0.51575380563736,0.52981835603714,0.514162659645081,0.488557457923889,0.512366414070129,0.509790003299713,0.510560810565948,0.499610632658005,0.517452597618103,0.539205491542816,0.518714129924774
19,5,524302.063,5447379.25,6.64870741023682,89.0634714879892,0.548917949199677,0.525301098823547,0.501134097576141,0.51334273815155,0.50029045343399,0.515997886657715,0.499777615070343,0.506737589836121,0.521496832370758,0.539243400096893,0.512025117874146
20,5,524271.636,5447378.919,6.64870741023682,89.0634714879892,0.51575380563736,0.52981835603714,0.514162659645081,0.488557457923889,0.512366414070129,0.509790003299713,0.510560810565948,0.499610632658005,0.517452597618103,0.539205491542816,0.518714129924774
21,6,524359.941,5447463.454,6.32572524120759,89.2954419375831,0.481018900871277,0.46303379535675,0.433770090341568,0.445508480072021,0.420429766178131,0.447663694620132,0.466734170913696,0.477521479129791,0.475893616676331,0.515188992023468,0.502269148826599
22,6,524328.191,5447464.777,6.32572524120759,89.2954419375831,0.456782579421997,0.416253805160522,0.41593536734581,0.431862473487854,0.413426280021667,0.421965420246124,0.442165464162827,0.442732453346252,0.449787765741348,0.428027302026749,0.445512264966965
23,6,524360.272,5447440.633,6.32572524120759,89.2954419375831,0.481018900871277,0.46303379535675,0.433770090341568,0.445508480072021,0.420429766178131,0.447663694620132,0.466734170913696,0.477521479129791,0.475893616676331,0.515188992023468,0.502269148826599
24,6,524329.845,5447440.303,6.32572524120759,89.2954419375831,0.456782579421997,0.416253805160522,0.41593536734581,0.431862473487854,0.413426280021667,0.421965420246124,0.442165464162827,0.442732453346252,0.449787765741348,0.428027302026749,0.445512264966965
