"MSI","NBR","NDMI","NDVI","RGI","TCW","ndmi_norm","ndmi_parent","pi_mpb_killed","pi_mpb_killed_pc","plot","point_id","year","epoch","epoch_start","sensor","n_scenes"
-0.206878423690796,0.42857900261879,0.206878423690796,0.645795166492462,0.789123045547246,-0.05491133025,-0.100100003182888,-0.126315996050835,15.0241928019693,84.9091941165153,1,1,2003,3,"2003-06-02","LT05",1
-0.402084052562714,0.63989919424057,0.402084052562714,0.641630232334137,0.716140696909928,-0.019460852,-0.0895000025629997,-0.152827993035317,39.7510178591308,80.6718155584882,2,2,2003,3,"2003-06-02","LT05",1
-0.1568214148283,0.413945287466049,0.1568214148283,0.621445298194885,0.873076923076923,-0.06364658425,-0.0886000022292137,-0.151792004704475,37.2124167088095,80.7369574840845,3,3,2003,3,"2003-06-02","LT05",1
-0.193951591849327,0.513220250606537,0.193951591849327,0.611905097961426,0.97442819647544,-0.04961057875,-0.0859000012278557,-0.129688993096352,24.519410957203,82.8216273785474,4,4,2003,3,"2003-06-02","LT05",1
-0.343773722648621,0.600915729999542,0.343773722648621,0.525903880596161,0.91714271270411,-0.02263937625,-0.0935999974608421,-0.0932584032416344,2.40276885946298,91.692429154288,9,9,2003,3,"2003-06-02","LT05",1
-0.0743961334228516,0.32127782702446,0.0743961334228516,0.552845418453217,1.01798474022042,-0.0860947875,-0.0826999992132187,-0.112493000924587,9.18144193758311,88.4778213100947,10,10,2003,3,"2003-06-02","LT05",1
-0.179769799113274,0.421547830104828,0.179769799113274,0.583980560302734,0.972068707991038,-0.05229132,-0.0888999998569489,-0.0888196974992752,1.58222089522678,92.3915414763885,11,11,2003,3,"2003-06-02","LT05",1
-0.138966292142868,0.385775148868561,0.138966292142868,0.623784899711609,0.865886369178249,-0.0759428105,-0.0737000033259392,-0.0730312019586563,1.3616191353309,92.5614495204142,12,12,2003,3,"2003-06-02","LT05",1
-0.167083963751793,0.417029201984406,0.167083963751793,0.639210999011993,0.888256118208404,-0.059693297,-0.0824000015854836,-0.117417998611927,11.578429154288,86.7801906400317,13,13,2003,3,"2003-06-02","LT05",1
-0.233183100819588,0.493953824043274,0.233183100819588,0.653585612773895,0.883611174545178,-0.04914854575,-0.0819000005722046,-0.118724003434181,12.2775414763885,86.7627074102368,14,14,2003,3,"2003-06-02","LT05",1
-0.158002883195877,0.400430589914322,0.158002883195877,0.599084079265594,0.863540090771558,-0.065017286,0.0333999991416931,0.0332639999687672,0.622957484084543,97.850410957203,15,15,2003,3,"2003-06-02","LT05",1
-0.18033193051815,0.4173264503479,0.18033193051815,0.638146698474884,0.886389717695662,-0.061000526,-0.109999999403954,-0.130511999130249,26.7821906400317,82.516768859463,18,18,2003,3,"2003-06-02","LT05",1
-0.263180077075958,0.51314514875412,0.263180077075958,0.612636148929596,0.871972551130248,-0.04037491,-0.115800000727177,-0.15599699318409,42.2896190094521,80.3480178591308,19,19,2003,3,"2003-06-02","LT05",1
-0.0706101581454277,0.28705969452858,0.0706101581454277,0.603121280670166,0.888820307075071,-0.07362123025,-0.114600002765656,-0.139293998479843,32.1352144081669,81.4756191353309,20,20,2003,3,"2003-06-02","LT05",1
-0.00749923940747976,0.188498318195343,0.00749923940747976,0.514346063137054,0.947876923076923,-0.0907008945,-0.109099999070167,-0.138340994715691,29.5966132578456,81.6962208952268,22,22,2003,3,"2003-06-02","LT05",1
-0.169126346707344,0.449741125106812,0.169126346707344,0.633779346942902,0.882646345687565,-0.061299946,-0.0808999985456467,-0.128451004624367,15.6960379933792,83.0254167088095,23,23,2003,3,"2003-06-02","LT05",1
-0.124394781887531,0.402664721012115,0.124394781887531,0.629930078983307,0.869451101221043,-0.08455997125,-0.0795999988913536,-0.120993003249168,12.4474495204142,86.4397252412076,24,24,2003,3,"2003-06-02","LT05",1
-0.295901983976364,0.565609216690063,0.295901983976364,0.637646317481995,0.789123045547246,-0.03266544725,-0.0807999968528748,-0.117039002478123,10.4631284723991,87.0560121075243,25,25,2003,3,"2003-06-02","LT05",1
-0.243077173829079,0.485647588968277,0.243077173829079,0.685002684593201,0.797638833170955,-0.066451026,-0.107600003480911,-0.166336998343468,47.3668213100947,75.4096132578456,26,26,2003,3,"2003-06-02","LT05",1
-0.207542255520821,0.462020516395569,0.207542255520821,0.66384881734848,0.787927473031903,-0.05019419475,-0.10589999705553,-0.163434997200966,44.8282201597734,77.9482144081669,27,27,2003,3,"2003-06-02","LT05",1
-0.203918173909187,0.472519904375076,0.203918173909187,0.676019489765167,0.870097005482919,-0.064298524,-0.100100003182888,-0.126315996050835,15.0241928019693,84.9091941165153,1,1,2003,4,"2003-06-18","LT05",2
-0.326027125120163,0.600394666194916,0.326027125120163,0.699885904788971,0.870478682468832,-0.038501753,-0.0895000025629997,-0.152827993035317,39.7510178591308,80.6718155584882,2,2,2003,4,"2003-06-18","LT05",2
-0.220942169427872,0.504330515861511,0.220942169427872,0.655055999755859,0.868026176626124,-0.056482002375,-0.0886000022292137,-0.151792004704475,37.2124167088095,80.7369574840845,3,3,2003,4,"2003-06-18","LT05",2
-0.161423072218895,0.405548304319382,0.161423072218895,0.647474825382233,0.858744675519919,-0.0751788055,-0.0859000012278557,-0.129688993096352,24.519410957203,82.8216273785474,4,4,2003,4,"2003-06-18","LT05",2
-0.440152615308762,0.693889379501343,0.440152615308762,0.790471434593201,0.722562607816311,-0.03735094675,-0.090599998831749,-0.109407000243664,6.64870741023682,89.0634714879892,5,5,2003,4,"2003-06-18","LT05",2
-0.364369094371796,0.681693971157074,0.364369094371796,0.659273386001587,1.71731826511912,-0.02551804875,-0.088699996471405,-0.104301996529102,4.79519411651529,90.5771284723991,7,7,2003,4,"2003-06-18","LT05",2
-0.335898280143738,0.577338814735413,0.335898280143738,0.585414588451385,0.852594082438753,-0.032381038125,-0.0854000002145767,-0.0983740016818047,2.70762737854738,90.6412201597734,8,8,2003,4,"2003-06-18","LT05",2
-0.242042049765587,0.522088944911957,0.242042049765587,0.68281626701355,0.776980897869112,-0.05026802675,-0.0935999974608421,-0.0932584032416344,2.40276885946298,91.692429154288,9,9,2003,4,"2003-06-18","LT05",2
-0.0281506609171629,0.280198633670807,0.0281506609171629,0.628235399723053,0.853668284327719,-0.11409596675,-0.0826999992132187,-0.112493000924587,9.18144193758311,88.4778213100947,10,10,2003,4,"2003-06-18","LT05",2
-0.212291687726974,0.485170602798462,0.212291687726974,0.632804095745087,0.826199783201393,-0.0509585985,-0.0888999998569489,-0.0888196974992752,1.58222089522678,92.3915414763885,11,11,2003,4,"2003-06-18","LT05",2
-0.183015570044518,0.444299250841141,0.183015570044518,0.688440501689911,0.860733182161753,-0.0816784195,-0.0737000033259392,-0.0730312019586563,1.3616191353309,92.5614495204142,12,12,2003,4,"2003-06-18","LT05",2
-0.204538285732269,0.478816032409668,0.204538285732269,0.693468630313873,0.784757178305565,-0.061094884,-0.0824000015854836,-0.117417998611927,11.578429154288,86.7801906400317,13,13,2003,4,"2003-06-18","LT05",2
-0.269143164157867,0.525124788284302,0.269143164157867,0.66634327173233,0.828856382978723,-0.047882471875,-0.0819000005722046,-0.118724003434181,12.2775414763885,86.7627074102368,14,14,2003,4,"2003-06-18","LT05",2
-0.292776554822922,0.581773579120636,0.292776554822922,0.69736248254776,0.742714577774698,-0.040158940125,0.0333999991416931,0.0332639999687672,0.622957484084543,97.850410957203,15,15,2003,4,"2003-06-18","LT05",2
-0.235337197780609,0.477471351623535,0.235337197780609,0.663047254085541,0.831059333893087,-0.053045525375,-0.115199998021126,-0.115543000400066,8.94947148798914,88.3551928019693,16,16,2003,4,"2003-06-18","LT05",2
-0.233888223767281,0.503907144069672,0.233888223767281,0.673345863819122,0.789650470584323,-0.053292023,-0.109999999403954,-0.130511999130249,26.7821906400317,82.516768859463,18,18,2003,4,"2003-06-18","LT05",2
-0.182010486721992,0.408073097467422,0.182010486721992,0.661980986595154,0.866031039042383,-0.06947672725,-0.115800000727177,-0.15599699318409,42.2896190094521,80.3480178591308,19,19,2003,4,"2003-06-18","LT05",2
-0.277158468961716,0.540908873081207,0.277158468961716,0.977668166160583,0.217661875833457,-0.06466181,-0.0790999978780746,-0.133031994104385,27.0580121075243,82.4046190094521,21,21,2003,4,"2003-06-18","LT05",2
-0.181542128324509,0.398862838745117,0.181542128324509,0.539272367954254,0.981240613943544,-0.066778692625,-0.109099999070167,-0.138340994715691,29.5966132578456,81.6962208952268,22,22,2003,4,"2003-06-18","LT05",2
-0.271547645330429,0.563275814056396,0.271547645330429,0.672811269760132,0.831958035522562,-0.050207315,-0.0808999985456467,-0.128451004624367,15.6960379933792,83.0254167088095,23,23,2003,4,"2003-06-18","LT05",2
-0.173266649246216,0.45150762796402,0.173266649246216,0.648816764354706,0.863455661627498,-0.080882097875,-0.0795999988913536,-0.120993003249168,12.4474495204142,86.4397252412076,24,24,2003,4,"2003-06-18","LT05",2
-0.267583310604095,0.578032314777374,0.267583310604095,0.65692013502121,0.787736838425505,-0.037474568875,-0.0807999968528748,-0.117039002478123,10.4631284723991,87.0560121075243,25,25,2003,4,"2003-06-18","LT05",2
-0.277622640132904,0.556511282920837,0.277622640132904,0.694631636142731,0.867417259862171,-0.0632152495,-0.107600003480911,-0.166336998343468,47.3668213100947,75.4096132578456,26,26,2003,4,"2003-06-18","LT05",2
-0.243162855505943,0.508144676685333,0.243162855505943,0.671451210975647,0.750049976677551,-0.04806300525,-0.10589999705553,-0.163434997200966,44.8282201597734,77.9482144081669,27,27,2003,4,"2003-06-18","LT05",2
-0.201775521039963,0.476907730102539,0.201775521039963,0.662671864032745,0.864364981504316,-0.07159758775,-0.0531000010669231,-0.0529821999371052,1.17537001725943,95.2830379933792,28,28,2003,4,"2003-06-18","LT05",2
-0.205922022461891,0.540988266468048,0.205922022461891,0.663353443145752,0.784942059946915,-0.05271435525,-0.100100003182888,-0.126315996050835,15.0241928019693,84.9091941165153,1,1,2003,5,"2003-07-04","LT05",2
-0.322250127792358,0.577667236328125,0.322250127792358,0.75733882188797,0.679688753409273,-0.0407423925,-0.0895000025629997,-0.152827993035317,39.7510178591308,80.6718155584882,2,2,2003,5,"2003-07-04","LT05",2
-0.22750797867775,0.513106346130371,0.22750797867775,0.681143522262573,0.713508135315463,-0.056118495,-0.0886000022292137,-0.151792004704475,37.2124167088095,80.7369574840845,3,3,2003,5,"2003-07-04","LT05",2
-0.22750797867775,0.488249331712723,0.22750797867775,0.681143522262573,0.871782036613272,-0.05979404325,-0.0859000012278557,-0.129688993096352,24.519410957203,82.8216273785474,4,4,2003,5,"2003-07-04","LT05",2
-0.420029282569885,0.715447127819061,0.420029282569885,0.786473155021667,0.723469325340999,-0.03632996525,-0.090599998831749,-0.109407000243664,6.64870741023682,89.0634714879892,5,5,2003,5,"2003-07-04","LT05",2
-0.274006456136703,0.582889795303345,0.274006456136703,0.679965794086456,0.786330361672827,-0.03956011525,-0.0917999967932701,-0.107192002236843,6.32572524120759,89.2954419375831,6,6,2003,5,"2003-07-04","LT05",2
-0.318055242300034,0.614753603935242,0.318055242300034,0.717062950134277,0.839192317585527,-0.0363027925,-0.088699996471405,-0.104301996529102,4.79519411651529,90.5771284723991,7,7,2003,5,"2003-07-04","LT05",2
-0.368095904588699,0.64421820640564,0.368095904588699,0.751958191394806,0.722410167321935,-0.027981038125,-0.0854000002145767,-0.0983740016818047,2.70762737854738,90.6412201597734,8,8,2003,5,"2003-07-04","LT05",2
-0.258242636919022,0.53240692615509,0.258242636919022,0.684201419353485,0.879111182416172,-0.04711742325,-0.0935999974608421,-0.0932584032416344,2.40276885946298,91.692429154288,9,9,2003,5,"2003-07-04","LT05",2
-0.0547771379351616,0.292605042457581,0.0547771379351616,0.622043490409851,0.963900977384604,-0.095577726625,-0.0826999992132187,-0.112493000924587,9.18144193758311,88.4778213100947,10,10,2003,5,"2003-07-04","LT05",2
-0.1940548568964,0.504207968711853,0.1940548568964,0.654311537742615,0.871983435670427,-0.056166796,-0.0888999998569489,-0.0888196974992752,1.58222089522678,92.3915414763885,11,11,2003,5,"2003-07-04","LT05",2
