point_id,plot,easting_m,northing_m,pi_mpb_killed,pi_mpb_killed_pc,in_fire
1,1,524683.792,5447133.253,15.0241928019693,84.9091941165153,True
2,1,524652.042,5447134.576,15.0241928019693,84.9091941165153,True
3,1,524684.123,5447110.433,15.0241928019693,84.9091941165153,True
4,1,524653.695,5447110.102,15.0241928019693,84.9091941165153,True
5,2,524684.123,5447073.391,39.7510178591308,80.6718155584882,True
6,2,524652.373,5447074.714,39.7510178591308,80.6718155584882,True
7,2,524684.453,5447050.571,39.7510178591308,80.6718155584882,True
8,2,524654.026,5447050.24,39.7510178591308,80.6718155584882,True
9,3,524300.674,5447340.687,37.2124167088095,80.7369574840845,True
10,3,524268.924,5447342.01,37.2124167088095,80.7369574840845,True
11,3,524301.005,5447317.866,37.2124167088095,80.7369574840845,True
12,3,524270.578,5447317.536,37.2124167088095,80.7369574840845,True
13,4,524357.825,5447399.954,24.519410957203,82.8216273785474,True
14,4,524326.074,5447401.277,24.519410957203,82.8216273785474,True
15,4,524358.155,5447377.133,24.519410957203,82.8216273785474,True
16,4,524327.728,5447376.802,24.519410957203,82.8216273785474,True
17,5,524301.733,5447402.07,6.64870741023682,89.0634714879892,True
18,5,524269.983,5447403.393,6.64870741023682,89.0634714879892,True
19,5,524302.063,5447379.25,6.64870741023682,89.0634714879892,True
20,5,524271.636,5447378.919,6.64870741023682,89.0634714879892,True
21,6,524359.941,5447463.454,6.32572524120759,89.2954419375831,True
22,6,524328.191,5447464.777,6.32572524120759,89.2954419375831,True
23,6,524360.272,5447440.633,6.32572524120759,89.2954419375831,True
24,6,524329.845,5447440.303,6.32572524120759,89.2954419375831,True
25,7,524273.158,5447606.064,4.79519411651529,90.5771284723991,True
26,7,524241.408,5447607.387,4.79519411651529,90.5771284723991,True
27,7,524273.488,5447583.244,4.79519411651529,90.5771284723991,True
28,7,524243.061,5447582.913,4.79519411651529,90.5771284723991,True
29,8,523975.236,5447606.329,2.70762737854738,90.6412201597734,True
30,8,523943.486,5447607.652,2.70762737854738,90.6412201597734,True
31,8,523975.567,5447583.509,2.70762737854738,90.6412201597734,True
32,8,523945.14,5447583.178,2.70762737854738,90.6412201597734,True
33,9,523918.086,5447607.123,2.40276885946298,91.692429154288,True
34,9,523886.336,5447608.446,2.40276885946298,91.692429154288,True
35,9,523918.417,5447584.302,2.40276885946298,91.692429154288,True
36,9,523887.99,5447583.972,2.40276885946298,91.692429154288,True
37,10,523820.455,5447546.004,9.18144193758311,88.4778213100947,True
38,10,523788.705,5447547.327,9.18144193758311,88.4778213100947,True
39,10,523820.785,5447523.184,9.18144193758311,88.4778213100947,True
40,10,523790.358,5447522.853,9.18144193758311,88.4778213100947,True
41,11,523760.13,5447545.21,1.58222089522678,92.3915414763885,True
42,11,523728.38,5447546.533,1.58222089522678,92.3915414763885,True
43,11,523760.46,5447522.39,1.58222089522678,92.3915414763885,True
44,11,523730.033,5447522.059,1.58222089522678,92.3915414763885,True
