FID_1,Name,FID_2,Classname,Classvalue,RED,GREEN,BLUE,Count,2020B1Aero,2020B2Blue,2020B3Gree,2020B4Red,2020B5NIR,2020B6SW1,2020B7SW2,2020CHI_cp,2020TASWET,2020TASGRE,2020TASBRI,2020RGI_cp,2020MSI1_c,2020MSI_cp,2020NDMI_c
16,,22,Class 23,23,220,134,226,2,8419,7656,7052,6383,10946,8486,6737,1,-3.89777e+03,8.38346e+03,1.62104e+04,0,0,0,17328
17,,22,Class 23,23,220,134,226,2,8479,7751,7289,6722,11864,9929,7533,1,-4.39670e+03,8.67167e+03,1.68450e+04,0,0,0,18585
18,,22,Class 23,23,220,134,226,2,8357,7565,6906,6253,10160,7831,6413,1,-3.68682e+03,8.23931e+03,1.58844e+04,0,0,0,16412
19,,22,Class 23,23,220,134,226,2,8461,7706,7251,6619,11365,9425,7266,1,-4.24560e+03,8.59994e+03,1.66691e+04,0,0,0,17983
36,,23,Class 24,24,149,116,72,3,8294,7479,6622,6027,8440,7006,5982,1,-3.37372e+03,7.96786e+03,1.53612e+04,0,0,0,14466
37,,23,Class 24,24,149,116,72,3,8341,7554,6890,6245,9900,7803,6404,1,-3.67940e+03,8.22583e+03,1.58561e+04,0,0,0,16144
38,,23,Class 24,24,149,116,72,3,8273,7455,6640,6038,8448,6914,5973,1,-3.37865e+03,7.98338e+03,1.53668e+04,0,0,0,14485
39,,23,Class 24,24,149,116,72,3,8280,7495,6736,6108,8796,7161,6111,1,-3.47905e+03,8.07655e+03,1.55398e+04,0,0,0,14903
32,,24,Class 25,25,188,129,53,3,8336,7560,6813,6180,9169,7232,6080,1,-3.46226e+03,8.18555e+03,1.56790e+04,0,0,0,15348
33,,24,Class 25,25,188,129,53,3,8351,7534,6749,6134,8841,7098,6044,1,-3.42867e+03,8.11291e+03,1.55812e+04,0,0,0,14974
34,,24,Class 25,25,188,129,53,3,8439,7668,6982,6388,9529,8095,6654,1,-3.81728e+03,8.36506e+03,1.61426e+04,0,0,0,15916
35,,24,Class 25,25,188,129,53,3,8395,7619,6875,6316,9043,7860,6530,1,-3.72466e+03,8.26624e+03,1.59509e+04,0,0,0,15358
28,,25,Class 26,26,159,219,188,3,8370,7582,6859,6229,9221,7715,6383,1,-3.65107e+03,8.20410e+03,1.58328e+04,0,0,0,15449
29,,25,Class 26,26,159,219,188,3,8331,7518,6772,6140,8889,7223,6103,1,-3.47614e+03,8.11919e+03,1.56074e+04,0,0,0,15028
30,,25,Class 26,26,159,219,188,3,8394,7637,6960,6353,9850,8145,6610,1,-3.79552e+03,8.33124e+03,1.60714e+04,0,0,0,16202
31,,25,Class 26,26,159,219,188,3,8354,7556,6867,6201,9640,7582,6253,1,-3.58484e+03,8.19985e+03,1.57796e+04,0,0,0,15840
24,,26,Class 27,27,13,132,113,2,8460,7685,6856,6364,8184,8149,6798,1,-3.85831e+03,8.26441e+03,1.60644e+04,0,0,0,14547
25,,26,Class 27,27,13,132,113,2,8451,7699,6908,6392,8737,8020,6724,1,-3.82535e+03,8.32840e+03,1.61124e+04,0,0,0,15128
26,,26,Class 27,27,13,132,113,2,8500,7729,6898,6493,8131,8544,7207,1,-4.09301e+03,8.33442e+03,1.62954e+04,0,1,0,14623
27,,26,Class 27,27,13,132,113,2,8489,7759,6952,6501,8329,8392,7024,1,-3.99423e+03,8.40411e+03,1.63148e+04,0,1,0,14829
20,,27,Class 28,28,47,141,137,2,8409,7610,6872,6202,9792,7458,6214,1,-3.55006e+03,8.21516e+03,1.58092e+04,0,0,0,15993
21,,27,Class 28,28,47,141,137,2,8436,7655,6945,6268,10534,7755,6320,1,-3.62139e+03,8.29663e+03,1.59588e+04,0,0,0,16801
22,,27,Class 28,28,47,141,137,2,8451,7671,6896,6374,8788,8055,6715,1,-3.82394e+03,8.30159e+03,1.60780e+04,0,0,0,15161
23,,27,Class 28,28,47,141,137,2,8371,7557,6750,6159,8600,7112,6081,1,-3.44238e+03,8.13118e+03,1.56186e+04,0,0,0,14758
