"year","baseline","forested","median_dndmi","ref_mad","red_cells","red_pc","red_ha"
2006,2005,316569,-0.00496026873588562,0.0279113950431347,45460,14.3602184673799,2867.06578522695
2007,2006,316677,-0.00650143623352051,0.0279113950431347,53253,16.8161881033356,3358.55376728312
2008,2007,316689,0.0205328464508057,0.0279113950431347,35329,11.1557395425796,2228.12510176601
2009,2008,316688,-0.0161003768444061,0.0279113950431347,75384,23.80387005507,4754.30900029803
2010,2009,312676,0.0059753954410553,0.0279113950431347,46217,14.7811152758766,2914.80816972798
2011,2010,312659,0.00939363241195679,0.0279113950431347,41668,13.3269792329663,2627.9123875679
2014,2013,316153,0.000216156244277954,0.0279113950431347,16708,5.28478300063577,1053.73812449564
