"QMD class (cm)","n","Attacked","Attacked (%)","95% CI (%)"
"<15","395","111","28.1","23.9-32.7"
"15-20","4,101","783","19.1","17.9-20.3"
"20-25","9,286","1,998","21.5","20.7-22.4"
"25-30","17,119","5,391","31.5","30.8-32.2"
"30-40","10,247","2,291","22.4","21.6-23.2"
">40","1,643","217","13.2","11.7-14.9"
