"class","n","elevation","slope","northness","eastness","tri","tpi","twi","exposure","wind_50m","wind_n","year"
"modhigh",10000,1161.18043470459,11.2853282395134,0.0880968119214681,-0.32329820098128,5.09834323802397,-0.267895860726472,8.55480510637318,-4.85725321779994,3.71420376743853,3358,2006
"other",10000,1407.62477682495,20.9760830108823,0.0589134715026088,-0.117286809347884,9.53804872967093,-0.0400834500359429,6.5039311499957,-6.83702999560345,3.67076384556573,2091,2006
"modhigh",10000,1191.23451984863,12.4211646261503,0.058441576628801,-0.333001214492386,5.63649053581256,-0.159778487137442,8.1331287736929,-2.68135469214598,3.50091960011687,3014,2007
"other",10000,1404.7154447937,21.0342656630382,0.0582728021636044,-0.116458605810749,9.56283953714725,-0.068452378437026,6.50481461296832,-7.21339537262631,3.70868166712339,2101,2007
"modhigh",10000,1358.36273634644,16.9146982591332,0.0968883148873083,-0.221079140862887,7.68438792137974,-0.179381347051156,7.39040717313649,-5.95178897292073,3.68370737628483,2188,2008
"other",10000,1389.22994174805,20.6743841633368,0.0456662103653149,-0.115256987762976,9.40107943645406,-0.0621722994489593,6.56804423670763,-6.74312960192581,3.68978507629494,2164,2008
"modhigh",10000,1231.30139424439,14.8117971826042,-0.0445735459030358,-0.326246332397836,6.72573195627218,-0.084834115466471,7.75672766864718,1.26161518988495,3.54999486100031,2949,2009
"other",10000,1411.67548432617,20.8984233429947,0.0625165071090857,-0.106502335435624,9.51370252564895,-0.0709899116155075,6.52588311736356,-7.41636481116726,3.6831370247492,2072,2009
"modhigh",10000,1428.7924921814,17.5026058745116,0.0682672716241508,-0.219990814244898,7.90855086324209,-0.0981212262222947,7.1540249113929,-2.43228403770996,3.92362415164163,2455,2010
"other",10000,1360.53558843384,20.8095349494676,0.0593672810107449,-0.0928368006264453,9.46012331013692,-0.0684459187213692,6.53995951196006,-7.73194447301803,3.59018847225181,2116,2010
"modhigh",10000,1171.90238810425,12.8123100871689,-0.0372403796342136,-0.413275035076481,5.77372859339463,0.0283402317408382,8.19183541291407,3.84737026252544,3.71887584109446,3214,2011
"other",10000,1415.09072454834,21.0143414056736,0.0684762341927244,-0.0888824402056214,9.54951576042424,-0.141365561527845,6.49667926063201,-8.36884004314033,3.67491090502643,2094,2011
"modhigh",10000,1010.41597129517,9.58742050895839,0.041758622610839,-0.590316337390074,4.32248099827931,-0.06382044041053,9.23110757259716,0.489533468756129,3.93368692008594,3275,2013
"other",10000,1460.00367579346,22.2780286015877,0.0669082839190286,-0.0448236603457304,10.1454820375805,-0.0931431018148437,6.18037144631413,-8.6710508340696,3.58404117378848,1934,2013
"modhigh",10000,1198.82113529053,12.7090939317162,0.049733617071,-0.440689189386216,5.73625437826091,-0.0449399300622447,8.41847244350938,-0.388580975444451,3.99843627104093,2755,2014
"other",10000,1436.79455699463,22.2295971151574,0.0652615650540897,-0.0451787733937692,10.1163712711593,-0.185644812232213,6.17782526961296,-8.85836350686187,3.50645439289382,2033,2014
