"year","valid","attacked_pc","attacked_ha","modhigh_pc","modhigh_ha"
2006,2933442,24.1101068301333,63653.04,7.02253530153315,18540.18
2007,2932790,30.5566371952987,80654.58,10.822459160049,28566
2008,2926739,35.7811202160493,94249.8,17.732295226872,46708.02
2009,2934368,24.7362975604968,65326.86,10.4954116184473,27717.66
2010,2728209,36.8447578612929,90468.18,22.3955349461863,54989.73
2011,2930703,17.9120504534236,47245.41,10.0732827584371,26569.62
2013,2934977,21.6963199370898,57310.38,14.0792585427416,37190.07
2014,2927095,31.4379615284096,82819.71,21.9977144575082,57950.46
