"year","valid","modhigh_cells","modhigh_pc","modhigh_ha"
2006,213729,9910,4.63671284664224,891.9
2007,213730,14787,6.9185420858092,1330.83
2008,213698,30405,14.2280227236567,2736.45
2009,213732,15899,7.43875507645088,1430.91
2010,209409,33526,16.0098181071492,3017.34
2011,213723,14438,6.75547320597222,1299.42
2013,213628,22087,10.3390005055517,1987.83
2014,212281,23166,10.9128937587443,2084.94
