point_id,plot,easting_m,northing_m,pi_mpb_killed,pi_mpb_killed_pc,in_fire
1,1,524283.792,5445583.253,15.0241928019693,84.9091941165153,True
2,1,524252.042,5445584.576,15.0241928019693,84.9091941165153,True
3,1,524284.123,5445560.433,15.0241928019693,84.9091941165153,True
4,1,524253.69499999995,5445560.102,15.0241928019693,84.9091941165153,True
5,2,524284.123,5445523.391,39.7510178591308,80.6718155584882,True
6,2,524252.373,5445524.714,39.7510178591308,80.6718155584882,True
7,2,524284.453,5445500.571,39.7510178591308,80.6718155584882,True
8,2,524254.02599999995,5445500.24,39.7510178591308,80.6718155584882,True
9,3,523900.674,5445790.687,37.2124167088095,80.7369574840845,True
10,3,523868.924,5445792.01,37.2124167088095,80.7369574840845,True
11,3,523901.005,5445767.866,37.2124167088095,80.7369574840845,True
12,3,523870.578,5445767.536,37.2124167088095,80.7369574840845,True
13,4,523957.82499999995,5445849.954,24.519410957203,82.8216273785474,True
14,4,523926.074,5445851.277,24.519410957203,82.8216273785474,True
15,4,523958.155,5445827.133,24.519410957203,82.8216273785474,True
16,4,523927.728,5445826.802,24.519410957203,82.8216273785474,True
17,5,523901.733,5445852.07,6.64870741023682,89.0634714879892,True
18,5,523869.983,5445853.393,6.64870741023682,89.0634714879892,True
19,5,523902.06299999997,5445829.25,6.64870741023682,89.0634714879892,True
20,5,523871.636,5445828.919,6.64870741023682,89.0634714879892,True
21,6,523959.941,5445913.454,6.32572524120759,89.2954419375831,True
22,6,523928.191,5445914.777,6.32572524120759,89.2954419375831,True
23,6,523960.272,5445890.633,6.32572524120759,89.2954419375831,True
24,6,523929.845,5445890.303,6.32572524120759,89.2954419375831,True
25,7,523873.158,5446056.064,4.79519411651529,90.5771284723991,True
26,7,523841.408,5446057.387,4.79519411651529,90.5771284723991,True
27,7,523873.488,5446033.244,4.79519411651529,90.5771284723991,True
28,7,523843.061,5446032.913,4.79519411651529,90.5771284723991,True
29,8,523575.236,5446056.329,2.70762737854738,90.6412201597734,True
30,8,523543.486,5446057.652,2.70762737854738,90.6412201597734,True
31,8,523575.567,5446033.509,2.70762737854738,90.6412201597734,True
32,8,523545.14,5446033.178,2.70762737854738,90.6412201597734,True
33,9,523518.086,5446057.123,2.40276885946298,91.692429154288,True
34,9,523486.336,5446058.446,2.40276885946298,91.692429154288,True
35,9,523518.417,5446034.302,2.40276885946298,91.692429154288,True
36,9,523487.99,5446033.972,2.40276885946298,91.692429154288,True
37,10,523420.455,5445996.004,9.18144193758311,88.4778213100947,True
38,10,523388.705,5445997.327,9.18144193758311,88.4778213100947,True
39,10,523420.785,5445973.184,9.18144193758311,88.4778213100947,True
40,10,523390.358,5445972.853,9.18144193758311,88.4778213100947,True
41,11,523360.13,5445995.21,1.58222089522678,92.3915414763885,True
42,11,523328.38,5445996.533,1.58222089522678,92.3915414763885,True
43,11,523360.46,5445972.39,1.58222089522678,92.3915414763885,True
44,11,523330.033,5445972.059,1.58222089522678,92.3915414763885,True
45,12,523302.186,5445938.854,1.3616191353309,92.5614495204142,True
46,12,523270.436,5445940.177,1.3616191353309,92.5614495204142,True
47,12,523302.516,5445916.033,1.3616191353309,92.5614495204142,True
48,12,523272.089,5445915.703,1.3616191353309,92.5614495204142,True
49,13,523248.211,5445937.266,11.578429154288,86.7801906400317,True
50,13,523216.461,5445938.589,11.578429154288,86.7801906400317,True
51,13,523248.541,5445914.446,11.578429154288,86.7801906400317,True
52,13,523218.114,5445914.115,11.578429154288,86.7801906400317,True
53,14,523041.041,5446086.492,12.2775414763885,86.7627074102368,True
54,14,523009.291,5446087.814,12.2775414763885,86.7627074102368,True
55,14,523041.372,5446063.671,12.2775414763885,86.7627074102368,True
56,14,523010.945,5446063.34,12.2775414763885,86.7627074102368,True
57,15,523664.136,5446206.877,0.622957484084543,97.850410957203,True
58,15,523632.386,5446208.2,0.622957484084543,97.850410957203,True
59,15,523664.467,5446184.057,0.622957484084543,97.850410957203,True
60,15,523634.04,5446183.726,0.622957484084543,97.850410957203,True
61,16,522922.243,5446736.31,8.94947148798914,88.3551928019693,True
62,16,522890.493,5446737.632,8.94947148798914,88.3551928019693,True
63,16,522922.574,5446713.489,8.94947148798914,88.3551928019693,True
64,16,522892.147,5446713.158,8.94947148798914,88.3551928019693,True
65,17,522777.158,5444169.818,34.6738155584882,81.2893700172594,True
66,17,522806.923,5444167.04,34.6738155584882,81.2893700172594,True
67,17,522777.158,5444135.687,34.6738155584882,81.2893700172594,True
68,17,522806.923,5444137.672,34.6738155584882,81.2893700172594,True
69,18,523103.219,5446353.721,26.7821906400317,82.516768859463,True
70,18,523071.469,5446355.044,26.7821906400317,82.516768859463,True
71,18,523103.549,5446330.901,26.7821906400317,82.516768859463,True
72,18,523073.122,5446330.57,26.7821906400317,82.516768859463,True
73,19,523160.104,5446353.721,42.2896190094521,80.3480178591308,True
74,19,523128.354,5446355.044,42.2896190094521,80.3480178591308,True
75,19,523160.435,5446330.901,42.2896190094521,80.3480178591308,True
76,19,523130.008,5446330.57,42.2896190094521,80.3480178591308,True
77,20,523396.907,5446976.023,32.1352144081669,81.4756191353309,True
78,20,523365.157,5446977.345,32.1352144081669,81.4756191353309,True
79,20,523397.237,5446953.202,32.1352144081669,81.4756191353309,True
80,20,523366.81,5446952.871,32.1352144081669,81.4756191353309,True
81,21,523546.132,5447029.998,27.0580121075243,82.4046190094521,True
82,21,523514.382,5447031.321,27.0580121075243,82.4046190094521,True
83,21,523546.463,5447007.177,27.0580121075243,82.4046190094521,True
84,21,523516.036,5447006.847,27.0580121075243,82.4046190094521,True
85,22,523608.045,5447091.91,29.5966132578456,81.6962208952268,True
86,22,523576.295,5447093.233,29.5966132578456,81.6962208952268,True
87,22,523608.375,5447069.09,29.5966132578456,81.6962208952268,True
88,22,523577.948,5447068.759,29.5966132578456,81.6962208952268,True
89,23,522923.831,5446682.334,15.6960379933792,83.0254167088095,True
90,23,522892.081,5446683.657,15.6960379933792,83.0254167088095,True
91,23,522924.162,5446659.514,15.6960379933792,83.0254167088095,True
92,23,522893.734,5446659.183,15.6960379933792,83.0254167088095,True
93,24,522925.418,5446617.247,12.4474495204142,86.4397252412076,True
94,24,522893.668,5446618.57,12.4474495204142,86.4397252412076,True
95,24,522925.749,5446594.426,12.4474495204142,86.4397252412076,True
96,24,522895.322,5446594.096,12.4474495204142,86.4397252412076,True
97,25,522984.156,5446618.834,10.4631284723991,87.0560121075243,True
98,25,522952.406,5446620.157,10.4631284723991,87.0560121075243,True
99,25,522984.487,5446596.014,10.4631284723991,87.0560121075243,True
100,25,522954.059,5446595.683,10.4631284723991,87.0560121075243,True
101,26,523047.656,5446675.984,47.3668213100947,75.4096132578456,True
102,26,523015.906,5446677.307,47.3668213100947,75.4096132578456,True
103,26,523047.987,5446653.164,47.3668213100947,75.4096132578456,True
104,26,523017.56,5446652.833,47.3668213100947,75.4096132578456,True
105,27,523101.631,5446766.472,44.8282201597734,77.9482144081669,True
106,27,523069.881,5446767.795,44.8282201597734,77.9482144081669,True
107,27,523101.962,5446743.652,44.8282201597734,77.9482144081669,True
108,27,523071.535,5446743.321,44.8282201597734,77.9482144081669,True
109,28,523100.044,5446825.21,1.17537001725943,95.2830379933792,True
110,28,523068.294,5446826.533,1.17537001725943,95.2830379933792,True
111,28,523100.374,5446802.389,1.17537001725943,95.2830379933792,True
112,28,523069.947,5446802.059,1.17537001725943,95.2830379933792,True
