"BLUE","GREEN","NDMI","NIR","RED","SWIR1","SWIR2","dNDMI","elev","lab","split","yr","lon","lat"
0.0191907,0.032753,0.3623183,0.1824048,0.0230623,0.0853811,0.0392421,-0.0027486,1430,1,0,2005,-116.5697481,49.2295191
0.015542,0.0272823,0.2804666,0.1635198,0.0231048,0.0918868,0.0450038,-0.0620741,1374,1,1,2005,-116.576216,49.2324836
0.0177533,0.0279348,0.3558719,0.1780005,0.0183893,0.0845619,0.0365038,-0.0389012,1361,1,1,2005,-116.5743295,49.2314056
0.0185382,0.0316653,0.3225919,0.1986761,0.0278876,0.1017583,0.0434569,-0.0279712,1446,1,0,2005,-116.5759465,49.2341005
0.0169424,0.0345756,0.2713493,0.2105034,0.0255001,0.1206462,0.0617203,-0.0645776,1424,1,0,2005,-116.5713651,49.2316751
0.0230137,0.0360804,0.2646779,0.2111544,0.0250605,0.1227716,0.0517395,-0.1012411,1557,1,0,2005,-116.5799889,49.2362565
0.0162269,0.0325452,0.3892623,0.1957883,0.0221945,0.086071,0.0343074,0.0001493,1337,1,1,2005,-116.5797194,49.2314056
0.0179276,0.0319979,0.4411739,0.2164214,0.0230063,0.083919,0.036972,0.0017561,1293,1,0,2005,-116.5783719,49.2311361
0.0199123,0.0334638,0.3086799,0.1557959,0.027304,0.0823003,0.0361792,-0.0649104,1281,1,0,2005,-116.5743295,49.2287106
0.020315,0.0342116,0.3479809,0.2041426,0.0249815,0.0987439,0.0429102,-0.013037,1434,1,0,2005,-116.5697481,49.2292496
0.0162738,0.0335746,0.3663061,0.1893403,0.0230712,0.0878162,0.0454338,0.0080705,1518,1,1,2005,-116.5789109,49.235448
0.0185431,0.0394962,0.3547881,0.1744739,0.0254748,0.0830924,0.0387534,0.0134799,1356,1,1,2005,-116.5719041,49.2273632
0.016088,0.030622,0.3500173,0.1768623,0.0266102,0.0851526,0.0378963,-0.0044309,1509,1,0,2005,-116.5813364,49.235448
0.0167381,0.0326181,0.2820366,0.1852904,0.0249107,0.103766,0.0502665,-0.0114611,1477,1,0,2005,-116.5797194,49.23437
0.0245489,0.0474484,0.2224893,0.2527103,0.0408878,0.1607253,0.0867763,-0.0042291,1360,1,0,2005,-116.5710956,49.2270937
0.0175617,0.0338933,0.3231532,0.2122691,0.0261247,0.1085843,0.04604,-0.0650101,1448,1,0,2005,-116.5775634,49.23437
0.0161726,0.0363955,0.3729132,0.2037239,0.0222173,0.0930522,0.0422127,0.0415558,1325,1,0,2005,-116.5772939,49.2316751
0.0177967,0.0322931,0.4203748,0.180268,0.0224905,0.0735636,0.0252225,0.047837,1396,1,0,2005,-116.5708261,49.2289801
0.0178981,0.0337719,0.2846814,0.1906428,0.025668,0.1061511,0.0513516,0.0243721,1495,1,0,2005,-116.5789109,49.2346395
0.0153688,0.0245967,0.4131571,0.1741825,0.0172742,0.0723329,0.0279421,-0.0094104,1262,1,0,2005,-116.5783719,49.2303276
0.0159736,0.0296703,0.4125037,0.1914544,0.0213575,0.0796308,0.0329978,-0.0255811,1261,1,0,2005,-116.5789109,49.2300581
0.0155429,0.0314928,0.3380725,0.1766315,0.026157,0.0873774,0.040107,-0.0241668,1538,1,0,2005,-116.5802584,49.235987
0.0147837,0.0271982,0.3168394,0.1339246,0.0199008,0.0694785,0.0321675,-0.1175503,1331,1,0,2005,-116.5764855,49.2316751
0.0188537,0.0306219,0.267316,0.1851335,0.0226129,0.1070328,0.049726,-0.0857205,1398,1,0,2005,-116.5737905,49.2327531
0.0189528,0.0325114,0.4114748,0.2223072,0.0222067,0.0926927,0.0414339,-0.0208467,1335,1,0,2005,-116.5786414,49.2316751
0.0204485,0.0401707,0.2375879,0.1897122,0.028468,0.1168716,0.0555938,-0.0703764,1217,1,0,2005,-116.576755,49.2292496
0.0265137,0.0476029,0.2908074,0.2359683,0.0383981,0.1296452,0.0613297,0.0263721,1333,1,1,2005,-116.572443,49.2292496
0.0170457,0.0303222,0.3839746,0.2182977,0.0226022,0.0971672,0.0431872,0.0123595,1462,1,1,2005,-116.5770245,49.2346395
0.0154966,0.0324205,0.3742288,0.1639398,0.0222004,0.0746519,0.0347041,-0.032654,1448,1,1,2005,-116.5694786,49.2284411
0.0214932,0.0370841,0.2581217,0.1896894,0.0313565,0.1118544,0.0480749,-0.0210166,1414,1,0,2005,-116.5694786,49.2273632
