"point_id","plot","easting_m","northing_m","pi_mpb_killed","pi_mpb_killed_pc","BLUE","GREEN","NDMI","NIR","RED","SWIR1","SWIR2","dNDMI"
33,9,523918.086,5447607.123,2.40276885946298,91.692429154288,0.02925375,0.04072125,0.141800999641418,0.16042875,0.03480875,0.12058125,0.068235,-0.431929022073746
34,9,523886.336,5447608.446,2.40276885946298,91.692429154288,0.0281675,0.04204125,0.198728397488594,0.1828825,0.03445125,0.122245,0.06585625,-0.264275014400482
35,9,523918.417,5447584.302,2.40276885946298,91.692429154288,0.0295975,0.04354,0.205529898405075,0.18372125,0.03500125,0.12107625,0.066585,-0.303104847669601
36,9,523887.99,5447583.972,2.40276885946298,91.692429154288,0.034905,0.0481325,0.0681778490543365,0.179775,0.04501125,0.15682625,0.0907575,-0.313323438167572
37,10,523820.455,5447546.004,9.18144193758311,88.4778213100947,0.0277825,0.03907125,0.149571746587753,0.15619375,0.03274625,0.11554875,0.06356,-0.350078254938126
38,10,523788.705,5447547.327,9.18144193758311,88.4778213100947,0.0277825,0.03907125,0.149571746587753,0.15619375,0.03274625,0.11554875,0.06356,-0.350078254938126
39,10,523820.785,5447523.184,9.18144193758311,88.4778213100947,0.03093125,0.04303125,0.0740576460957527,0.1528525,0.03783375,0.13177375,0.07654,-0.41723558306694
40,10,523790.358,5447522.853,9.18144193758311,88.4778213100947,0.03093125,0.04303125,0.0740576460957527,0.1528525,0.03783375,0.13177375,0.07654,-0.41723558306694
41,11,523760.13,5447545.21,1.58222089522678,92.3915414763885,0.026325,0.037655,0.174981847405434,0.1516975,0.030175,0.106515,0.05744125,-0.333191573619843
42,11,523728.38,5447546.533,1.58222089522678,92.3915414763885,0.02572,0.0380675,0.252107799053192,0.16939375,0.02903375,0.10118,0.052285,-0.273876965045929
43,11,523760.46,5447522.39,1.58222089522678,92.3915414763885,0.0284425,0.04074875,0.122572742402554,0.15583625,0.03447875,0.121805,0.06769875,-0.378350675106049
44,11,523730.033,5447522.059,1.58222089522678,92.3915414763885,0.0255,0.03892,0.215134516358376,0.16150125,0.0302575,0.104315,0.05526875,-0.283537179231644
45,12,523702.186,5447488.854,1.3616191353309,92.5614495204142,0.02622875,0.0376275,0.157660499215126,0.14892,0.0311925,0.1083575,0.05922875,-0.263677060604095
46,12,523670.436,5447490.177,1.3616191353309,92.5614495204142,0.0275075,0.04008875,0.12347449362278,0.16207875,0.0345475,0.1264525,0.07014625,-0.32000195980072
47,12,523702.516,5447466.033,1.3616191353309,92.5614495204142,0.02622875,0.0376275,0.157660499215126,0.14892,0.0311925,0.1083575,0.05922875,-0.263677060604095
48,12,523672.089,5447465.703,1.3616191353309,92.5614495204142,0.0275075,0.04008875,0.12347449362278,0.16207875,0.0345475,0.1264525,0.07014625,-0.32000195980072
