"MSI","NBR","NDMI","NDVI","RGI","TCW","in_fire","pi_mpb_killed","pi_mpb_killed_pc","plot","point_id","year","epoch","epoch_start","sensor","n_scenes"
-0.239148154854774,0.501701712608337,0.239148154854774,0.649305164813995,0.788320844233583,-0.07013242075,NA,34.6738155584882,81.2893700172594,17,65,2003,2,"2003-05-17","LT05",2
-0.349951982498169,0.604736626148224,0.349951982498169,0.628807127475739,0.908722399732939,-0.03993156325,NA,34.6738155584882,81.2893700172594,17,66,2003,2,"2003-05-17","LT05",2
-0.297195822000504,0.627063870429993,0.297195822000504,0.670325696468353,0.73174300536514,-0.04768215775,NA,34.6738155584882,81.2893700172594,17,67,2003,2,"2003-05-17","LT05",2
-0.297195822000504,0.541442394256592,0.297195822000504,0.670325696468353,0.73174300536514,-0.0563405905,NA,34.6738155584882,81.2893700172594,17,68,2003,2,"2003-05-17","LT05",2
-0.353502810001373,0.629737079143524,0.353502810001373,0.807432651519775,0.706984548696078,-0.0600921075,NA,37.2124167088095,80.7369574840845,3,9,2003,3,"2003-06-02","LT05",1
-0.408399492502213,0.673933446407318,0.408399492502213,0.77327835559845,0.0738780117550893,0.029135652,NA,37.2124167088095,80.7369574840845,3,10,2003,3,"2003-06-02","LT05",1
-0.33978009223938,0.581176280975342,0.33978009223938,0.757997334003448,0.612942258361164,-0.05665252575,NA,24.519410957203,82.8216273785474,4,13,2003,3,"2003-06-02","LT05",1
-0.447319954633713,0.739200353622437,0.447319954633713,0.793039202690125,0.636054849666625,-0.02548312925,NA,24.519410957203,82.8216273785474,4,14,2003,3,"2003-06-02","LT05",1
-0.165788903832436,0.41345140337944,0.165788903832436,0.642818748950958,-182.923728813549,-0.12870075475,NA,24.519410957203,82.8216273785474,4,15,2003,3,"2003-06-02","LT05",1
-0.409409314393997,0.674307882785797,0.409409314393997,0.747266888618469,-1.7062423500612,-0.05428477025,NA,24.519410957203,82.8216273785474,4,16,2003,3,"2003-06-02","LT05",1
-0.421704888343811,0.709516704082489,0.421704888343811,0.768839538097382,0.795719231979855,-0.028250754,NA,6.64870741023682,89.0634714879892,5,17,2003,3,"2003-06-02","LT05",1
-0.388783156871796,0.661763668060303,0.388783156871796,0.75223582983017,-2.04406711138063,-0.042277085,NA,6.64870741023682,89.0634714879892,5,18,2003,3,"2003-06-02","LT05",1
-0.484062403440475,0.770418405532837,0.484062403440475,0.822359561920166,-0.602882907501024,-0.038555235,NA,6.64870741023682,89.0634714879892,5,19,2003,3,"2003-06-02","LT05",1
-0.484062403440475,0.770418405532837,0.484062403440475,0.822359561920166,-0.602882907501024,-0.038555235,NA,6.64870741023682,89.0634714879892,5,20,2003,3,"2003-06-02","LT05",1
-0.252741605043411,0.564802765846252,0.252741605043411,0.704066753387451,0.870380963276513,-0.06993954125,NA,6.32572524120759,89.2954419375831,6,21,2003,3,"2003-06-02","LT05",1
-0.38428857922554,0.615886986255646,0.38428857922554,0.784024238586426,0.795892631958206,-0.03977885575,NA,6.32572524120759,89.2954419375831,6,22,2003,3,"2003-06-02","LT05",1
-0.383360505104065,0.620825886726379,0.383360505104065,0.743692994117737,0.796578185935338,-0.04334634825,NA,6.32572524120759,89.2954419375831,6,23,2003,3,"2003-06-02","LT05",1
-0.383360505104065,0.620825886726379,0.383360505104065,0.743692994117737,0.796578185935338,-0.04334634825,NA,6.32572524120759,89.2954419375831,6,24,2003,3,"2003-06-02","LT05",1
-0.185491472482681,0.448604017496109,0.185491472482681,0.69979578256607,0.797609687057713,-0.094253669,NA,4.79519411651529,90.5771284723991,7,25,2003,3,"2003-06-02","LT05",1
-0.0959940999746323,0.338101446628571,0.0959940999746323,0.599313139915466,0.96985082674335,-0.12284409625,NA,4.79519411651529,90.5771284723991,7,26,2003,3,"2003-06-02","LT05",1
-0.185491472482681,0.448604017496109,0.185491472482681,0.69979578256607,0.797609687057713,-0.094253669,NA,4.79519411651529,90.5771284723991,7,27,2003,3,"2003-06-02","LT05",1
-0.0875028073787689,0.316053628921509,0.0875028073787689,0.612996637821198,0.851955892834682,-0.12561279625,NA,4.79519411651529,90.5771284723991,7,28,2003,3,"2003-06-02","LT05",1
0.0575098432600498,0.151250436902046,-0.0575098432600498,0.542198717594147,1.03957214121259,-0.164225835,NA,2.70762737854738,90.6412201597734,8,29,2003,3,"2003-06-02","LT05",1
-0.0904756262898445,0.334811925888062,0.0904756262898445,0.634817004203796,0.952162027833002,-0.101537869,NA,2.70762737854738,90.6412201597734,8,30,2003,3,"2003-06-02","LT05",1
0.0333586037158966,0.161160215735435,-0.0333586037158966,0.518373608589172,1.06043201398427,-0.169828289,NA,2.70762737854738,90.6412201597734,8,31,2003,3,"2003-06-02","LT05",1
-0.0767278671264648,0.296510636806488,0.0767278671264648,0.555796802043915,1.03845601264307,-0.11517649675,NA,2.70762737854738,90.6412201597734,8,32,2003,3,"2003-06-02","LT05",1
0.0175624489784241,0.16068784892559,-0.0175624489784241,0.586578488349915,1.00931519223169,-0.145773709,NA,2.40276885946298,91.692429154288,9,33,2003,3,"2003-06-02","LT05",1
0.0444221645593643,0.174534440040588,-0.0444221645593643,0.540971457958221,1.05747542679772,-0.147606507,NA,2.40276885946298,91.692429154288,9,34,2003,3,"2003-06-02","LT05",1
0.0594897791743279,0.131208136677742,-0.0594897791743279,0.548578143119812,1.05811062771908,-0.1621947675,NA,2.40276885946298,91.692429154288,9,35,2003,3,"2003-06-02","LT05",1
0.0069360313937068,0.1710235029459,-0.0069360313937068,0.548389971256256,1.05747542679772,-0.142256118,NA,2.40276885946298,91.692429154288,9,36,2003,3,"2003-06-02","LT05",1
-0.116649866104126,0.375211238861084,0.116649866104126,0.618586301803589,0.964615700499624,-0.079396398,NA,9.18144193758311,88.4778213100947,10,37,2003,3,"2003-06-02","LT05",1
-0.248422831296921,0.543647229671478,0.248422831296921,0.646564900875092,0.789832821562607,-0.0410598305,NA,9.18144193758311,88.4778213100947,10,38,2003,3,"2003-06-02","LT05",1
-0.089114360511303,0.341747313737869,0.089114360511303,0.623876750469208,0.878037095339128,-0.08014756875,NA,9.18144193758311,88.4778213100947,10,39,2003,3,"2003-06-02","LT05",1
-0.233089238405228,0.494100362062454,0.233089238405228,0.654343485832214,0.885548160048964,-0.04926869875,NA,9.18144193758311,88.4778213100947,10,40,2003,3,"2003-06-02","LT05",1
-0.248422831296921,0.543647229671478,0.248422831296921,0.646564900875092,0.789832821562607,-0.0410598305,NA,1.58222089522678,92.3915414763885,11,41,2003,3,"2003-06-02","LT05",1
-0.295901983976364,0.565609216690063,0.295901983976364,0.637646317481995,0.789123045547246,-0.03266544725,NA,1.58222089522678,92.3915414763885,11,42,2003,3,"2003-06-02","LT05",1
-0.233089238405228,0.494100362062454,0.233089238405228,0.654343485832214,0.885548160048964,-0.04926869875,NA,1.58222089522678,92.3915414763885,11,43,2003,3,"2003-06-02","LT05",1
-0.292793720960617,0.57495766878128,0.292793720960617,0.645795166492462,0.789123045547246,-0.03563503475,NA,1.58222089522678,92.3915414763885,11,44,2003,3,"2003-06-02","LT05",1
-0.250047653913498,0.50295078754425,0.250047653913498,0.637646317481995,0.789123045547246,-0.04560003375,NA,1.3616191353309,92.5614495204142,12,45,2003,3,"2003-06-02","LT05",1
-0.34534078836441,0.634341955184937,0.34534078836441,0.637146472930908,0.882330627418253,-0.02760097025,NA,1.3616191353309,92.5614495204142,12,46,2003,3,"2003-06-02","LT05",1
-0.34534078836441,0.634341955184937,0.34534078836441,0.637146472930908,0.882330627418253,-0.02760097025,NA,11.578429154288,86.7801906400317,13,49,2003,3,"2003-06-02","LT05",1
-0.302945584058762,0.606131017208099,0.302945584058762,0.641895055770874,0.687570072501682,-0.02296444275,NA,12.2775414763885,86.7627074102368,14,53,2003,3,"2003-06-02","LT05",1
-0.302945584058762,0.606131017208099,0.302945584058762,0.641895055770874,0.687570072501682,-0.02296444275,NA,12.2775414763885,86.7627074102368,14,54,2003,3,"2003-06-02","LT05",1
-0.314294874668121,0.587092220783234,0.314294874668121,0.701642274856567,0.671418873048201,-0.02769959625,NA,12.2775414763885,86.7627074102368,14,55,2003,3,"2003-06-02","LT05",1
-0.314294874668121,0.587092220783234,0.314294874668121,0.701642274856567,0.671418873048201,-0.02769959625,NA,12.2775414763885,86.7627074102368,14,56,2003,3,"2003-06-02","LT05",1
-0.113613620400429,0.353186041116714,0.113613620400429,0.648390829563141,0.9710205213533,-0.09193050475,NA,0.622957484084543,97.850410957203,15,57,2003,3,"2003-06-02","LT05",1
-0.0930838361382484,0.343286067247391,0.0930838361382484,0.615231692790985,0.952716172439572,-0.09245326875,NA,0.622957484084543,97.850410957203,15,58,2003,3,"2003-06-02","LT05",1
-0.0646530315279961,0.36204868555069,0.0646530315279961,0.653787314891815,0.868147474862239,-0.11089002225,NA,0.622957484084543,97.850410957203,15,59,2003,3,"2003-06-02","LT05",1
-0.0646530315279961,0.36204868555069,0.0646530315279961,0.653787314891815,0.868147474862239,-0.11089002225,NA,0.622957484084543,97.850410957203,15,60,2003,3,"2003-06-02","LT05",1
-0.25373700261116,0.481219172477722,0.25373700261116,0.615862309932709,0.8750278458454,-0.04048409325,NA,8.94947148798914,88.3551928019693,16,61,2003,3,"2003-06-02","LT05",1
-0.25373700261116,0.481219172477722,0.25373700261116,0.615862309932709,0.8750278458454,-0.04048409325,NA,8.94947148798914,88.3551928019693,16,62,2003,3,"2003-06-02","LT05",1
-0.25373700261116,0.481219172477722,0.25373700261116,0.615862309932709,0.8750278458454,-0.04048409325,NA,8.94947148798914,88.3551928019693,16,63,2003,3,"2003-06-02","LT05",1
-0.25373700261116,0.481219172477722,0.25373700261116,0.615862309932709,0.8750278458454,-0.04048409325,NA,8.94947148798914,88.3551928019693,16,64,2003,3,"2003-06-02","LT05",1
-0.433624476194382,0.654726922512054,0.433624476194382,0.684101462364197,0.77457514161946,-0.01552898725,NA,34.6738155584882,81.2893700172594,17,65,2003,3,"2003-06-02","LT05",1
-0.396241873502731,0.711419880390167,0.396241873502731,0.706183433532715,0.779269642198451,-0.02088843475,NA,34.6738155584882,81.2893700172594,17,66,2003,3,"2003-06-02","LT05",1
-0.54621559381485,0.769737184047699,0.54621559381485,0.686509609222412,0.764419263456091,-0.000867816000000013,NA,34.6738155584882,81.2893700172594,17,67,2003,3,"2003-06-02","LT05",1
-0.457056909799576,0.72977739572525,0.457056909799576,0.660530686378479,0.912420382165605,-0.00738638025000001,NA,34.6738155584882,81.2893700172594,17,68,2003,3,"2003-06-02","LT05",1
-0.333412140607834,0.54865950345993,0.333412140607834,0.45757070183754,0.92993242494738,-0.0174586155,NA,26.7821906400317,82.516768859463,18,69,2003,3,"2003-06-02","LT05",1
-0.328599333763123,0.523878037929535,0.328599333763123,0.469676166772842,1.01866327334424,-0.0215289675,NA,26.7821906400317,82.516768859463,18,70,2003,3,"2003-06-02","LT05",1
-0.208559647202492,0.438551336526871,0.208559647202492,0.542946100234985,0.864420157862781,-0.0431774735,NA,26.7821906400317,82.516768859463,18,71,2003,3,"2003-06-02","LT05",1
-0.261745750904083,0.464871942996979,0.261745750904083,0.474947184324265,1.04205795546016,-0.030065116,NA,26.7821906400317,82.516768859463,18,72,2003,3,"2003-06-02","LT05",1
-0.066425547003746,0.315487563610077,0.066425547003746,0.493983179330826,1.02006322957198,-0.07127911025,NA,42.2896190094521,80.3480178591308,19,73,2003,3,"2003-06-02","LT05",1
