"plot","mort","NDMI_2003","NDMI_2005","NDMI_2006","NDMI_2007","NDMI_2008","NDMI_2009","NDMI_2010","NDMI_2011","NDMI_2012","NDMI_2013","NDMI_2014","dNDMI_min","NDMI_min"
15,0.622957484084543,0.514601901173592,0.480048909783364,0.463779397308827,0.456152983009815,0.461529091000557,0.466093555092812,0.502947866916656,0.502240717411041,0.512278005480766,0.509289845824242,0.490341849625111,-0.0584489181637767,0.456152983009815
28,1.17537001725943,0.483442679047585,0.467072360217571,0.493839487433433,0.475556336343289,0.42972170561552,0.488503351807594,0.493903607130051,0.474134020507335,0.502339735627174,0.509171776473522,0.486825220286846,-0.0537209734320645,0.42972170561552
12,1.3616191353309,0.4324069917202,0.386761233210563,0.402894794940948,0.356746688485145,0.391692727804184,0.410568356513977,0.364448100328445,0.421921595931053,0.417711079120636,0.403842404484749,0.40893243253231,-0.075660303235054,0.356746688485145
11,1.58222089522678,0.508438311517239,0.439788810908794,0.431685961782932,0.445687465369701,0.444909401237965,0.456310786306858,0.45552422106266,0.466968677937984,0.480471797287464,0.466466128826141,0.472091540694237,-0.0767523497343065,0.431685961782932
9,2.40276885946298,0.481717370450497,0.434174291789532,0.419708572328091,0.45140490680933,0.441299699246884,0.425421014428139,0.458697147667408,0.456656612455845,0.456305041909218,0.4654580950737,0.459816887974739,-0.0620087981224063,0.419708572328091
8,2.70762737854738,0.510285452008247,0.428602606058121,0.421158008277416,0.423911653459072,0.420781813561917,0.427852511405945,0.475106224417687,0.452914826571941,0.47089945524931,0.466880075633526,0.451771646738052,-0.0895036384463307,0.420781813561917
7,4.79519411651529,0.514804944396019,0.467056594789028,0.46459086239338,0.492633655667305,0.465134397149086,0.478902071714401,0.491726845502853,0.505077913403511,0.484326116740703,0.525985479354858,0.511613771319389,-0.0502140820026395,0.46459086239338
6,6.32572524120759,0.468900740146637,0.439643800258636,0.424852728843689,0.438685476779938,0.416928023099899,0.434814557433128,0.454449817538262,0.460126966238022,0.46284069120884,0.471608147025109,0.473890706896782,-0.0519727170467381,0.416928023099899
5,6.64870741023682,0.532335877418519,0.527559727430344,0.507648378610611,0.50095009803772,0.50632843375206,0.512893944978714,0.505169212818146,0.503174111247063,0.519474714994431,0.539224445819855,0.51536962389946,-0.031385779380799,0.50095009803772
16,8.94947148798914,0.415901549160481,0.404390268027782,0.409598119556904,0.395363450050354,0.350538820028305,0.38996783643961,0.413063906133175,0.410278983414173,0.425810053944588,0.443599089980125,0.421796143054962,-0.0653627291321758,0.350538820028305
10,9.18144193758311,0.495471611618995,0.44124336540699,0.419829547405243,0.435408815741539,0.441628396511078,0.465268075466156,0.460660710930825,0.480089604854584,0.483005523681641,0.48616410791874,0.478897914290428,-0.0756420642137525,0.419829547405243
25,10.4631284723991,0.358656220138073,0.36949697881937,0.350852854549885,0.338644340634346,0.281106177717447,0.342200361192226,0.362055473029613,0.320304714143276,0.356641948223114,0.358042366802693,0.358558312058449,-0.077550042420626,0.281106177717447
13,11.578429154288,0.439893618226051,0.40263119339943,0.395708665251732,0.39591172337532,0.397480398416519,0.404681533575058,0.429315507411957,0.40797308087349,0.418339028954506,0.422826275229454,0.426361829042435,-0.044184952974319,0.395708665251732
14,12.2775414763885,0.364441379904747,0.338421121239662,0.324467331171036,0.316431924700737,0.315848350524903,0.342754900455475,0.379632383584976,0.384939953684806,0.38926388323307,0.384269863367081,0.381898403167725,-0.0485930293798445,0.315848350524903
24,12.4474495204142,0.40329097956419,0.368214778602123,0.375996135175228,0.361522100865841,0.326183423399925,0.361525945365429,0.395617343485355,0.363283053040505,0.388539992272854,0.407065100967884,0.408532917499543,-0.077107556164265,0.326183423399925
1,15.0241928019693,0.483670026063919,0.479346752166748,0.454188108444214,0.458674758672714,0.459284752607346,0.486239522695541,0.713840067386627,0.522000133991241,0.50672835111618,0.530042409896851,0.506684064865112,-0.029481917619705,0.454188108444214
23,15.6960379933792,0.401878617703915,0.358776919543743,0.363605409860611,0.352417960762977,0.262383539229631,0.34130498021841,0.373655378818512,0.344277046620846,0.359720703214407,0.408440910279751,0.378596723079681,-0.139495078474283,0.262383539229631
4,24.519410957203,0.498052254319191,0.506324782967568,0.477439858019352,0.48340180516243,0.48716102540493,0.485870391130447,0.501334227621556,0.522472053766251,0.507847890257835,0.533110275864601,0.517443642020226,-0.0206123962998387,0.477439858019352
18,26.7821906400317,0.349557138979435,0.3170762732625,0.32597129046917,0.326893799006939,0.286191709339619,0.31958331912756,0.341319493949413,0.362862050533295,0.352103039622307,0.382473185658455,0.370878711342811,-0.0633654296398165,0.286191709339619
21,27.0580121075243,0.4792305752635,0.360664736479521,0.375723451375961,0.392565011978149,0.355753682553768,0.386842139065266,0.444350771605968,0.383868046104908,0.492795489728451,0.461835436522961,0.445818908512593,-0.123476892709732,0.355753682553768
22,29.5966132578456,0.180371336638927,0.08369795512408,0.0886538429185746,0.102535715326667,0.138114098459482,0.143355745822192,0.28417631983757,0.185598589479923,0.268723353743553,0.263007856905461,0.231335744261741,-0.0966733815148474,0.08369795512408
20,32.1352144081669,0.464528448879719,0.368515439331531,0.360358878970146,0.390316009521484,0.376442454755306,0.423036932945251,0.455358266830444,0.389422200620175,0.486755922436714,0.478480853140354,0.460067309439182,-0.104169569909573,0.360358878970146
3,37.2124167088095,0.460997268557549,0.430731847882271,0.415959015488625,0.419610723853111,0.453177988529205,0.435864821076393,0.454989939928055,0.460714891552925,0.447845086455345,0.495993673801422,0.484381899237633,-0.0450382530689235,0.415959015488625
2,39.7510178591308,0.331355214118958,0.312943518161774,0.326572805643082,0.224371120333672,0.259986519813538,0.292975336313248,0.466822445392609,0.326983392238617,0.292935431003571,0.332041442394257,0.332408607006073,-0.106984093785286,0.224371120333672
19,42.2896190094521,0.379720397293568,0.364581324160099,0.35718835145235,0.348863273859024,0.333625108003616,0.342961870133877,0.390552625060081,0.357904359698296,0.386852607131005,0.406689330935479,0.400706812739372,-0.0460952892899513,0.333625108003616
27,44.8282201597734,0.461784526705742,0.433059975504875,0.47164162248373,0.445450879633427,0.403901539742947,0.464655198156834,0.475366480648517,0.443495877087116,0.475558429956436,0.476353861391545,0.458819843828678,-0.0578829869627953,0.403901539742947
26,47.3668213100947,0.45022115111351,0.412101686000824,0.404019013047218,0.400151036679745,0.395153865218163,0.416841797530651,0.433418571949005,0.392603017389774,0.425474017858505,0.43773889541626,0.43688403069973,-0.0576181337237358,0.392603017389774
