"year","epoch","start","sensor","index","n_plots","r_m2","r_pc","abs_m2","abs_pc"
2013,3,"2013-06-02","LC08","TCW",21,0.496972108880176,-0.509368145233446,0.496972108880176,0.509368145233446
2013,3,"2013-06-02","LC08","NDMI",21,0.45212713875546,-0.444404586155981,0.45212713875546,0.444404586155981
2013,3,"2013-06-02","LC08","MSI",21,-0.45212713875546,0.444404586155981,0.45212713875546,0.444404586155981
2013,3,"2013-06-02","LC08","NDVI",21,0.443246722243149,-0.431078571440995,0.443246722243149,0.431078571440995
2013,3,"2013-06-02","LC08","NBR",21,0.430830052841164,-0.426030469640908,0.430830052841164,0.426030469640908
2013,3,"2013-06-02","LC08","RGI",21,-0.424848481139682,0.412644773380446,0.424848481139682,0.412644773380446
2006,8,"2006-08-21","LT05","NDVI",26,0.409743706218718,-0.436390132407535,0.409743706218718,0.436390132407535
2003,3,"2003-06-02","LT05","RGI",20,-0.401658875373202,0.345733917687875,0.401658875373202,0.345733917687875
2009,2,"2009-05-17","LT05","NDMI",28,0.362661898241106,-0.422965975827882,0.362661898241106,0.422965975827882
2009,2,"2009-05-17","LT05","MSI",28,-0.362661898241106,0.422965975827882,0.362661898241106,0.422965975827882
2006,5,"2006-07-04","LT05","NDMI",27,0.360782013190783,-0.403824195925719,0.360782013190783,0.403824195925719
2006,5,"2006-07-04","LT05","MSI",27,-0.360782013190783,0.403824195925719,0.360782013190783,0.403824195925719
2003,3,"2003-06-02","LT05","NDVI",20,0.356985406092384,-0.406393553139402,0.356985406092384,0.406393553139402
2007,7,"2007-08-05","LT05","RGI",28,-0.353040523018203,0.290003983038825,0.353040523018203,0.290003983038825
2006,10,"2006-09-22","LT05","NDMI",28,0.351907173969559,-0.329105363868054,0.351907173969559,0.329105363868054
2006,10,"2006-09-22","LT05","MSI",28,-0.351907173969559,0.329105363868054,0.351907173969559,0.329105363868054
2009,2,"2009-05-17","LT05","RGI",28,0.351123297368801,-0.357063906686522,0.351123297368801,0.357063906686522
2009,2,"2009-05-17","LT05","TCW",28,0.348314538691347,-0.389731124415928,0.348314538691347,0.389731124415928
2003,9,"2003-09-06","LT05","TCW",28,0.342348326978137,-0.341237926454601,0.342348326978137,0.341237926454601
2009,2,"2009-05-17","LT05","NBR",28,0.336827628822563,-0.40438381197959,0.336827628822563,0.40438381197959
2014,4,"2014-06-18","LC08","TCW",28,0.331801123317301,-0.33720281728901,0.331801123317301,0.33720281728901
2013,8,"2013-08-21","LC08","RGI",28,-0.32986924730623,0.306159612031384,0.32986924730623,0.306159612031384
2006,10,"2006-09-22","LT05","NBR",28,0.328284851661039,-0.322124231595824,0.328284851661039,0.322124231595824
2006,10,"2006-09-22","LT05","NDVI",28,0.322891688826115,-0.317740494280528,0.322891688826115,0.317740494280528
2003,9,"2003-09-06","LT05","NDMI",28,0.318272646724569,-0.35811339776169,0.318272646724569,0.35811339776169
2003,9,"2003-09-06","LT05","MSI",28,-0.318272646724569,0.35811339776169,0.318272646724569,0.35811339776169
2003,9,"2003-09-06","LT05","RGI",28,0.316323561477139,-0.409087640818784,0.316323561477139,0.409087640818784
2007,5,"2007-07-04","LT05","RGI",28,-0.315132854742068,0.338180930272531,0.315132854742068,0.338180930272531
2020,10,"2020-09-21","LC08","RGI",28,-0.309902485455045,0.347554600855713,0.309902485455045,0.347554600855713
2007,5,"2007-07-04","LT05","NDMI",28,0.303558823344163,-0.310460992071505,0.303558823344163,0.310460992071505
2007,5,"2007-07-04","LT05","MSI",28,-0.303558823344163,0.310460992071505,0.303558823344163,0.310460992071505
2011,9,"2011-09-06","LT05","RGI",28,-0.302882897033619,0.318671892163093,0.302882897033619,0.318671892163093
2009,9,"2009-09-06","LT05","NDMI",28,0.302686898698192,-0.359061509201431,0.302686898698192,0.359061509201431
2009,9,"2009-09-06","LT05","MSI",28,-0.302686898698192,0.359061509201431,0.302686898698192,0.359061509201431
2007,7,"2007-08-05","LT05","NDMI",28,0.301971405785828,-0.295240703424352,0.301971405785828,0.295240703424352
2007,7,"2007-08-05","LT05","MSI",28,-0.301971405785828,0.295240703424352,0.301971405785828,0.295240703424352
2007,7,"2007-08-05","LT05","NBR",28,0.300442094289115,-0.27738012745548,0.300442094289115,0.27738012745548
2013,6,"2013-07-20","LC08","TCW",28,0.29982326569895,-0.31788639381047,0.29982326569895,0.31788639381047
2014,5,"2014-07-04","LC08","TCW",28,0.297847162491642,-0.300822842206065,0.297847162491642,0.300822842206065
2007,7,"2007-08-05","LT05","NDVI",28,0.297067781255438,-0.273237589148868,0.297067781255438,0.273237589148868
2009,4,"2009-06-18","LT05","RGI",28,-0.295576787146061,0.351717860567624,0.295576787146061,0.351717860567624
2007,5,"2007-07-04","LT05","TCW",28,0.295020661387903,-0.293405212475921,0.295020661387903,0.293405212475921
2007,5,"2007-07-04","LT05","NBR",28,0.294939160106479,-0.310837098718081,0.294939160106479,0.310837098718081
2013,5,"2013-07-04","LC08","TCW",28,0.294757482092904,-0.30208043007735,0.294757482092904,0.30208043007735
2006,2,"2006-05-17","LT05","NBR",24,0.290799717374386,-0.210007661781884,0.290799717374386,0.210007661781884
2009,9,"2009-09-06","LT05","NBR",28,0.290129583688511,-0.36475587035943,0.290129583688511,0.36475587035943
2006,5,"2006-07-04","LT05","NDVI",27,0.283494746408966,-0.292499708281208,0.283494746408966,0.292499708281208
2014,7,"2014-08-05","LC08","TCW",28,0.28183783318384,-0.288650996899796,0.28183783318384,0.288650996899796
2009,4,"2009-06-18","LT05","NBR",28,0.279945966434442,-0.334254680183522,0.279945966434442,0.334254680183522
2009,9,"2009-09-06","LT05","TCW",28,0.276893719503423,-0.308442141774331,0.276893719503423,0.308442141774331
2007,7,"2007-08-05","LT05","TCW",28,0.275467870878474,-0.255223043986123,0.275467870878474,0.255223043986123
2009,7,"2009-08-05","LT05","RGI",28,-0.275363524036521,0.356526557808178,0.275363524036521,0.356526557808178
2009,5,"2009-07-04","LT05","NDMI",28,0.275356159755052,-0.3218914652255,0.275356159755052,0.3218914652255
2009,5,"2009-07-04","LT05","MSI",28,-0.275356159755052,0.3218914652255,0.275356159755052,0.3218914652255
2010,4,"2010-06-18","LT05","NBR",28,0.27434508271225,-0.334216445605787,0.27434508271225,0.334216445605787
2006,1,"2006-05-01","LT05","NDVI",22,0.273641378103811,-0.294374259791467,0.273641378103811,0.294374259791467
2009,4,"2009-06-18","LT05","TCW",28,0.272612311795814,-0.318622799789153,0.272612311795814,0.318622799789153
2009,7,"2009-08-05","LT05","NBR",28,0.270810489374243,-0.323885930680575,0.270810489374243,0.323885930680575
2007,5,"2007-07-04","LT05","NDVI",28,0.270529527624415,-0.265972122902218,0.270529527624415,0.265972122902218
2006,10,"2006-09-22","LT05","TCW",28,0.270459893497713,-0.240499524891483,0.270459893497713,0.240499524891483
2010,4,"2010-06-18","LT05","NDMI",28,0.270363279903145,-0.328939269588189,0.270363279903145,0.328939269588189
2010,4,"2010-06-18","LT05","MSI",28,-0.270363279903145,0.328939269588189,0.270363279903145,0.328939269588189
2014,1,"2014-05-01","LC08","NDVI",20,0.269569621657843,-0.346255273335396,0.269569621657843,0.346255273335396
2013,6,"2013-07-20","LC08","RGI",28,-0.269537800166689,0.266662236586144,0.269537800166689,0.266662236586144
2014,5,"2014-07-04","LC08","RGI",28,-0.268970547043517,0.263536034354339,0.268970547043517,0.263536034354339
2009,4,"2009-06-18","LT05","NDMI",28,0.268169772116724,-0.330259623312714,0.268169772116724,0.330259623312714
2009,4,"2009-06-18","LT05","MSI",28,-0.268169772116724,0.330259623312714,0.268169772116724,0.330259623312714
2003,9,"2003-09-06","LT05","NDVI",28,-0.268031575345868,0.273943821928427,0.268031575345868,0.273943821928427
2010,4,"2010-06-18","LT05","TCW",28,0.267248373050063,-0.311627021773091,0.267248373050063,0.311627021773091
2014,7,"2014-08-05","LC08","RGI",28,-0.266615543951817,0.26688048502013,0.266615543951817,0.26688048502013
2006,4,"2006-06-18","LT05","NDVI",28,0.266124478585018,-0.300903182480851,0.266124478585018,0.300903182480851
2013,8,"2013-08-21","LC08","TCW",28,0.264794833836882,-0.275372751202647,0.264794833836882,0.275372751202647
2020,10,"2020-09-21","LC08","NDVI",28,0.264365047180372,-0.225085175662761,0.264365047180372,0.225085175662761
2007,6,"2007-07-20","LT05","NBR",28,0.264322740873669,-0.25963065841697,0.264322740873669,0.25963065841697
2013,5,"2013-07-04","LC08","RGI",28,-0.2638476553606,0.252597014153436,0.2638476553606,0.252597014153436
2008,9,"2008-09-05","LT05","NDMI",28,0.263757637957895,-0.311879048610901,0.263757637957895,0.311879048610901
2008,9,"2008-09-05","LT05","MSI",28,-0.263757637957895,0.311879048610901,0.263757637957895,0.311879048610901
2014,4,"2014-06-18","LC08","RGI",28,-0.257297489243773,0.250684842691698,0.257297489243773,0.250684842691698
2009,6,"2009-07-20","LT05","NDVI",28,0.25692549556436,-0.30776603260809,0.25692549556436,0.30776603260809
2009,9,"2009-09-06","LT05","NDVI",28,0.256016138567568,-0.320694090822569,0.256016138567568,0.320694090822569
2013,8,"2013-08-21","LC08","NDVI",28,0.254918291171154,-0.245137360420416,0.254918291171154,0.245137360420416
