"model","n","host_years","host_vol_sd","host_stems_sd","stems_x_wind","stems_p","volume_x_wind","volume_p","volume_main","stems_main","wind_main","AIC","AUC"
"static 2025 composite",71127,8,7.95066161607182,19.4306580863632,-0.0940861508952201,1.18652883359062e-31,-0.0409620631433541,4.91351014641115e-07,0.255951868024467,-0.0410164341406206,0.0349283607689328,91875.9796616041,0.668499351805319
"annualized VRI",66302,8,13.6812752646266,91.4760604351544,-0.0490772765478801,3.79528340977455e-09,-0.0168932320691586,0.0382211839683758,0.205070520711556,-0.0265146921454275,0.0223780260500975,85098.4260487612,0.673041732151398
