"definition","n","hours_note","wind_mean","wind_sd","stems_x_wind","stems_p","volume_x_wind","volume_p","wind_main","wind_main_p","AIC","AUC"
"all24",71127,"",5.03811379314829,0.778033174106273,-0.09408615089522,1.1865288335908e-31,-0.0409620631433538,4.91351014641197e-07,0.034928360768933,6.94138365417188e-05,91875.9796616041,0.668499351805319
"h12_17",71127,"",6.45138796665302,1.24927409997521,-0.0565312639364145,3.43587860095536e-12,-0.0082250161198088,0.325057572663032,-0.0222809470605883,0.0119766224472812,92036.2518729999,0.667467994902222
"h11_18",71127,"",6.31650018554235,1.16764840719203,-0.0622897153065026,1.44189766495446e-14,-0.0160670666446718,0.0535140448454704,-0.0144576618783708,0.104253473503914,92020.3423957,0.66743684221744
"gate",69711,"",5.67217384968437,1.08467213938037,-0.0595651521207154,1.08209825117135e-13,-0.0324727522537331,7.62176926224134e-05,-0.00901849956468261,0.302278576943719,90325.2708709424,0.665987093439306
