"from","to","n","prev_prev","now_prev","phi","p_attack_given_attacked","p_attack_given_clean","odds_ratio","consecutive"
2006,2007,61920,0.0466,0.0607,0.4217,0.5161,0.0384,26.7,TRUE
2007,2008,61921,0.0607,0.1634,0.4063,0.7543,0.1252,21.45,TRUE
2008,2009,61922,0.1634,0.1007,0.4462,0.4047,0.0414,15.74,TRUE
2009,2010,61740,0.1009,0.1536,0.6364,0.8385,0.0767,62.5,TRUE
2010,2011,61739,0.1536,0.1237,0.6668,0.6391,0.0302,56.9,TRUE
2011,2013,61918,0.1236,0.1848,0.6631,0.8702,0.0882,69.36,FALSE
2013,2014,61919,0.1848,0.1811,0.8023,0.8299,0.034,138.77,TRUE
