"easting","northing","class_id","severity","plot_id","y2005","y2006","y2007","y2008","y2009","y2010","y2011","y2013","y2014","y2020","dndmi","worst_year_index","worst_year"
481875,5484825,1,"unaffected",1,0.364774882793427,0.359304904937744,0.332804292440414,0.357753902673721,0.365870893001556,0.365533411502838,0.402399569749832,0.424352049827576,0.407522082328796,0.467381685972214,-0.0319705903530121,2,2007
516645,5485395,1,"unaffected",2,0.376759499311447,0.435342460870743,0.414639383554459,0.423635244369507,0.403768569231033,0.369290977716446,0.428141713142395,0.400013238191605,0.4168900847435,0.433990836143494,-0.00746852159500122,5,2010
486165,5447295,1,"unaffected",3,0.34328830242157,0.332828402519226,0.32457846403122,0.315076470375061,0.366503715515137,0.403756529092789,0.345500320196152,0.438831001520157,0.412938266992569,0.402794182300568,-0.0282118320465088,3,2008
520725,5483895,1,"unaffected",4,0.48679906129837,0.522276043891907,0.506470918655396,0.453076720237732,0.489646196365356,0.514340698719025,0.525498628616333,0.527097344398499,0.54700493812561,0.516393065452576,-0.0337223410606384,3,2008
507195,5486175,1,"unaffected",5,0.328031808137894,0.367427736520767,0.374827921390533,0.394727796316147,0.428557455539703,0.641951501369476,0.435767263174057,0.329522013664246,0.479148328304291,0.391087025403976,0.00149020552635193,7,2013
485385,5459835,1,"unaffected",6,0.509230256080627,0.532193601131439,0.498101532459259,0.470541775226593,0.565965056419373,0.561935126781464,0.528268694877625,0.503522098064423,0.492798686027527,0.453663527965546,-0.0386884808540344,3,2008
500595,5449935,1,"unaffected",7,0.239425644278526,0.283474713563919,0.241061985492706,0.22894760966301,0.31277471780777,0.334566116333008,0.256013631820679,0.200148448348045,0.248464971780777,0.28698542714119,-0.039277195930481,7,2013
499485,5447115,1,"unaffected",8,0.279413133859634,0.263825327157974,0.254301071166992,0.268430173397064,0.257755726575851,0.354769378900528,0.350793182849884,0.306237429380417,0.297973275184631,0.352636218070984,-0.0251120626926422,2,2007
490725,5449905,1,"unaffected",9,0.301500380039215,0.263410776853561,0.255637794733047,0.319622695446014,0.309564501047134,0.297708064317703,0.27460178732872,0.326865196228027,0.347527325153351,0.304825931787491,-0.0458625853061676,2,2007
495255,5443995,1,"unaffected",10,0.523535966873169,0.498227834701538,0.49266055226326,0.477081447839737,0.516101658344269,0.52160656452179,0.558947086334229,0.568235218524933,0.562193989753723,0.586767435073853,-0.046454519033432,3,2008
485625,5465385,1,"unaffected",11,0.318835437297821,0.269454181194305,0.272826105356216,0.300567328929901,0.328730076551437,0.288231194019318,0.300428003072739,0.301731884479523,0.294122695922852,0.368384659290314,-0.0493812561035156,1,2006
511335,5470095,1,"unaffected",12,0.368206948041916,0.364731222391129,0.348821848630905,0.335938572883606,0.357074201107025,0.359962463378906,0.371465176343918,0.432125896215439,0.417004317045212,0.39035028219223,-0.0322683751583099,3,2008
520365,5440695,1,"unaffected",13,0.304306775331497,0.267078995704651,0.356569051742554,0.391189873218536,0.308065563440323,0.344218999147415,0.319046437740326,0.376785814762115,0.360135555267334,0.489169001579285,-0.0372277796268463,1,2006
482565,5474115,1,"unaffected",14,0.529952526092529,0.577376663684845,0.509088456630707,0.522531807422638,0.527802050113678,0.513657748699188,0.502977967262268,0.548195242881775,0.549774169921875,0.525942981243134,-0.0269745588302612,6,2011
509325,5488695,1,"unaffected",15,0.417771726846695,0.412142217159271,0.423690110445023,0.43463060259819,0.42062109708786,0.411786645650864,0.447056204080582,0.460827559232712,0.47260919213295,0.452475666999817,-0.0059850811958313,5,2010
482265,5454825,1,"unaffected",16,0.350431650876999,0.338591635227203,0.3528952896595,0.383180290460587,0.332778751850128,0.36198502779007,0.374637693166733,0.3905910551548,0.395737111568451,0.371892839670181,-0.0176528990268707,4,2009
523965,5444205,1,"unaffected",17,0.254734933376312,0.259481817483902,0.228847712278366,0.257860571146011,0.22624497115612,0.265973061323166,0.239379599690437,0.228652969002724,0.224770501255989,0.212675675749779,-0.0299644321203232,8,2014
501585,5461215,1,"unaffected",18,0.320934474468231,0.273858934640884,0.336518377065659,0.339311242103577,0.345923840999603,0.411819666624069,0.409995377063751,0.424897760152817,0.454988867044449,0.527166426181793,-0.0470755398273468,1,2006
530685,5453565,1,"unaffected",19,0.306088149547577,0.29787740111351,0.288744270801544,0.336219429969788,0.303873121738434,0.307863116264343,0.310461550951004,0.332490921020508,0.338278502225876,0.335262775421143,-0.0173438787460327,2,2007
508455,5470665,1,"unaffected",20,0.273860335350037,0.249493926763535,0.272364646196365,0.275857537984848,0.312163263559341,0.272466838359833,0.305367946624756,0.330447822809219,0.299312353134155,0.31783801317215,-0.0243664085865021,1,2006
505095,5480805,1,"unaffected",21,0.352355450391769,0.311901152133942,0.309344559907913,0.347680509090424,0.348718255758286,0.30364716053009,0.365325003862381,0.405266970396042,0.404866307973862,0.456912964582443,-0.0487082898616791,5,2010
500325,5441715,1,"unaffected",22,0.428371608257294,0.397911608219147,0.399974226951599,0.428049266338348,0.42358523607254,0.432093113660812,0.473335891962051,0.512386083602905,0.527093470096588,0.558303117752075,-0.030460000038147,1,2006
512415,5470185,1,"unaffected",23,0.297704845666885,0.34602963924408,0.316809266805649,0.309293061494827,0.307877242565155,0.263375997543335,0.323599189519882,0.410597234964371,0.380473405122757,0.366328686475754,-0.0343288481235504,5,2010
530325,5454375,1,"unaffected",24,0.356431216001511,0.33783370256424,0.375557661056519,0.377600997686386,0.395563632249832,0.372675240039825,0.356116980314255,0.371858298778534,0.384939908981323,0.418442696332932,-0.0185975134372711,1,2006
