"point_id","plot","easting_m","northing_m","pi_mpb_killed","pi_mpb_killed_pc","ndmi_parent","ndmi_norm"
1,1,523245,5447295,15.0241928019693,84.9091941165153,-0.126315996050835,-0.100100003182888
2,2,522855,5447565,39.7510178591308,80.6718155584882,-0.152827993035317,-0.0895000025629997
3,3,523125,5447145,37.2124167088095,80.7369574840845,-0.151792004704475,-0.0886000022292137
4,4,523005,5447445,24.519410957203,82.8216273785474,-0.129688993096352,-0.0859000012278557
5,5,524265,5446245,6.64870741023682,89.0634714879892,-0.109407000243664,-0.090599998831749
6,6,523545,5446455,6.32572524120759,89.2954419375831,-0.107192002236843,-0.0917999967932701
7,7,523485,5446785,4.79519411651529,90.5771284723991,-0.104301996529102,-0.088699996471405
8,8,523155,5445885,2.70762737854738,90.6412201597734,-0.0983740016818047,-0.0854000002145767
9,9,522915,5447445,2.40276885946298,91.692429154288,-0.0932584032416344,-0.0935999974608421
10,10,523005,5447745,9.18144193758311,88.4778213100947,-0.112493000924587,-0.0826999992132187
11,11,522945,5447325,1.58222089522678,92.3915414763885,-0.0888196974992752,-0.0888999998569489
12,12,523155,5447745,1.3616191353309,92.5614495204142,-0.0730312019586563,-0.0737000033259392
13,13,523425,5447265,11.578429154288,86.7801906400317,-0.117417998611927,-0.0824000015854836
14,14,523245,5447055,12.2775414763885,86.7627074102368,-0.118724003434181,-0.0819000005722046
15,15,523005,5446935,0.622957484084543,97.850410957203,0.0332639999687672,0.0333999991416931
16,16,523305,5445915,8.94947148798914,88.3551928019693,-0.115543000400066,-0.115199998021126
17,17,523575,5446365,34.6738155584882,81.2893700172594,-0.140134006738663,-0.0780000016093254
18,18,523395,5445945,26.7821906400317,82.516768859463,-0.130511999130249,-0.109999999403954
19,19,523065,5447325,42.2896190094521,80.3480178591308,-0.15599699318409,-0.115800000727177
20,20,523485,5446365,32.1352144081669,81.4756191353309,-0.139293998479843,-0.114600002765656
21,21,523635,5446725,27.0580121075243,82.4046190094521,-0.133031994104385,-0.0790999978780746
22,22,523395,5446125,29.5966132578456,81.6962208952268,-0.138340994715691,-0.109099999070167
23,23,523605,5447055,15.6960379933792,83.0254167088095,-0.128451004624367,-0.0808999985456467
24,24,523725,5447025,12.4474495204142,86.4397252412076,-0.120993003249168,-0.0795999988913536
25,25,523305,5446005,10.4631284723991,87.0560121075243,-0.117039002478123,-0.0807999968528748
26,26,523935,5446875,47.3668213100947,75.4096132578456,-0.166336998343468,-0.107600003480911
27,27,523395,5446035,44.8282201597734,77.9482144081669,-0.163434997200966,-0.10589999705553
28,28,523725,5446665,1.17537001725943,95.2830379933792,-0.0529821999371052,-0.0531000010669231
