"year","stations","obs","mean_kmh","grid_mean","grid_min","grid_max"
2005,6,12156,7.02453988115923,7.33296051339819,6.66935442292146,7.7962206818324
2006,6,12221,7.00875569658449,7.08903224591372,5.99014846262187,7.53475106105619
2007,5,10271,7.99321904480814,8.26468030787844,7.27189805018046,9.11022047513939
2008,4,8089,7.9927132437669,8.161979249307,7.49990807424419,8.7408255772708
2009,5,10302,7.20774920827931,7.44318210682836,7.26594655890284,7.78621059782129
2010,5,10301,7.15622487534424,7.25460547090249,7.00408148132905,7.75007363051719
2011,5,10289,6.60425541730514,6.68435030108586,6.14688450826917,7.39454550237653
2013,6,12477,7.282745873247,7.58259147457741,7.19305334503804,7.89678244541833
2014,7,14660,6.98789682657668,7.23317190246747,6.80223981134913,7.56902173857158
