"plot","pi_mpb_killed","severity","severity_label","parent_pc","bc_code","ndmi_recorded","cls_recorded","ndmi_shifted","cls_shifted"
26,47.3668213100947,"3","3 high",94.7336426201894,"V very severe",0.0651250006631017,2,0.040799998678267,2
27,44.8282201597734,"3","3 high",89.6564403195468,"V very severe",0.0456749990116805,2,0.174850005656481,2
19,42.2896190094521,"3","3 high",84.5792380189042,"V very severe",0.136249996721745,2,0.343049995601177,1
2,39.7510178591308,"3","3 high",79.5020357182616,"V very severe",0.147324999794364,1,0.422700010240078,1
3,37.2124167088095,"3","3 high",74.424833417619,"V very severe",0.12390000000596,2,0.131349995732307,2
17,34.6738155584882,"3","3 high",69.3476311169764,"V very severe",0.194049999117851,1,0.330975003540516,1
20,32.1352144081669,"3","3 high",64.2704288163338,"V very severe",0.107550002634525,2,-0.0221499996259809,3
22,29.5966132578456,"3","3 high",59.1932265156912,"V very severe",0.191649995744228,2,-0.0476999992970377,3
21,27.0580121075243,"3","3 high",54.1160242150486,"V very severe",0.111625000834465,2,0.0719749988638796,2
18,26.7821906400317,"2","2 moderate",53.5643812800634,"V very severe",0.0542500000447035,2,0.188850000500679,1
4,24.519410957203,"2","2 moderate",49.038821914406,"S severe",0.215724999085069,1,0.0612250015838072,2
23,15.6960379933792,"2","2 moderate",31.3920759867583,"S severe",0.212400000542402,1,0.215824995189905,1
1,15.0241928019693,"2","2 moderate",30.0483856039385,"S severe",0.155350001528859,1,0.454300001263618,1
24,12.4474495204142,"2","2 moderate",24.8948990408285,"M moderate",0.134400000795722,2,0.275600001215935,1
14,12.2775414763885,"2","2 moderate",24.5550829527771,"M moderate",0.110449995845556,2,0.162624998018146,1
13,11.578429154288,"2","2 moderate",23.156858308576,"M moderate",0.121050003916025,2,-0.0341250002384186,3
25,10.4631284723991,"2","2 moderate",20.9262569447981,"M moderate",0.091924998909235,2,0.292750000953674,1
10,9.18144193758311,"2","2 moderate",18.3628838751662,"M moderate",0.123099997639656,2,-0.0823250003159046,3
16,8.94947148798914,"1","1 low",17.8989429759783,"M moderate",0.262774992734194,1,0.238899998366833,1
5,6.64870741023682,"1","1 low",13.2974148204736,"M moderate",0.130175003781915,2,0.00302500044927001,3
6,6.32572524120759,"1","1 low",12.6514504824152,"M moderate",0.121649999171495,2,0.0416250005364418,3
7,4.79519411651529,"1","1 low",9.59038823303059,"L light",0.155050002038479,1,0.0693000005558133,2
8,2.70762737854738,"1","1 low",5.41525475709476,"L light",0.169399999082088,1,-0.0860750004649162,3
9,2.40276885946298,"1","1 low",4.80553771892595,"L light",0.133750002831221,2,-0.0586749985814095,3
11,1.58222089522678,"1","1 low",3.16444179045356,"L light",0.160099998116493,2,-0.0973499994724989,3
12,1.3616191353309,"1","1 low",2.7232382706618,"L light",0.134075002744794,2,-0.107499998062849,3
28,1.17537001725943,"1","1 low",2.35074003451886,"L light",0.0301000002400542,3,0.20804999768734,1
15,0.622957484084543,"1","1 low",1.24591496816909,"L light",0.164949998259544,1,0.000175000634044409,3
