"Model","AIC","ΔAIC","RMSE","RMSE (%)","MAE","Brier","Log loss","AUC","Brier skill"
"M0 host size + shading + landform","46,964","1,734","0.407","131.5","0.333","0.166","0.506","0.776","0.224"
"M1 + stand density","46,507","1,277","0.405","130.6","0.329","0.164","0.501","0.783","0.234"
"M2 + terrain and flight radiation","45,764","534","0.401","129.5","0.323","0.161","0.493","0.792","0.247"
"M3 + interactions","45,230","0","0.399","128.7","0.319","0.159","0.487","0.800","0.257"
