"Term","Beta","SE","z","p"
"solar_flight_direct","+0.487","0.028","17.21","< 0.001"
"PINE_BA","+0.459","0.014","32.40","< 0.001"
"QUAD_DIAM_125","-0.422","0.023","-18.35","< 0.001"
"northness","+0.382","0.016","23.19","< 0.001"
"LIVE_STAND_VOLUME_125","+0.381","0.024","15.61","< 0.001"
"wind_effect","+0.358","0.029","12.37","< 0.001"
"elevation","+0.329","0.018","18.20","< 0.001"
"VRI_LIVE_STEMS_PER_HA:wind_effect","+0.221","0.021","10.63","< 0.001"
"PROJ_AGE_1","+0.218","0.018","11.89","< 0.001"
"jul","+0.215","0.012","17.84","< 0.001"
"valley_depth","-0.193","0.022","-8.70","< 0.001"
"CROWN_CLOSURE","-0.183","0.020","-9.02","< 0.001"
"VRI_LIVE_STEMS_PER_HA:solar_flight_direct","-0.144","0.017","-8.58","< 0.001"
"jun","+0.107","0.012","8.66","< 0.001"
"VRI_LIVE_STEMS_PER_HA","-0.099","0.018","-5.36","< 0.001"
"twi","+0.073","0.019","3.74","< 0.001"
"midslope_position","+0.063","0.013","4.69","< 0.001"
"vrm","-0.043","0.019","-2.21","0.027"
"tpi","+0.040","0.023","1.77","0.076"
"curv_prof","-0.038","0.012","-3.04","0.002"
"tri","-0.036","0.023","-1.54","0.124"
"convergence","-0.029","0.014","-2.07","0.038"
"VRI_LIVE_STEMS_PER_HA:jun","-0.001","0.013","-0.12","0.905"
