"Year","Cells","Moderate-to-high (%)"
2006,"13,224","4.9"
2007,"13,225","6.0"
2008,"13,285","19.2"
2009,"13,556","12.4"
2010,"13,538","16.5"
2011,"14,944","13.5"
2013,"14,943","14.4"
2014,"14,992","15.2"
