"year","epoch","hours","cell_mean","cell_sd","station_mean"
2006,1,48,3.91725149052292,0.309725839036691,3.82345047438807
2006,2,81,4.79292630502654,0.410016628956966,4.68862086229486
2006,3,60,5.90595582684697,0.513959019727009,5.77332172458665
2006,4,195,5.61086669935648,0.466129811533734,5.47943147227878
2006,5,228,6.64844619167644,0.626607919436891,6.55694781452388
2006,6,246,5.22951887176104,0.438441444474637,5.16208941063108
2006,7,196,4.58300386160081,0.391685213988623,4.48857867873849
2006,8,170,5.2445938087725,0.411464481593835,5.09852452512272
2007,1,79,6.5609717615523,0.625715488971157,6.50203365706354
2007,2,85,5.05150787389606,0.472113363699605,4.97533068307467
2007,4,170,6.7907702023992,0.595834446159915,6.67663222599566
2007,5,294,5.06888737403131,0.416954669797933,4.9762816941322
2007,6,270,6.14262143762382,0.538353418907067,6.06414653692346
2007,7,188,6.43109636584416,0.609636173523084,6.34587735441403
2007,8,168,6.20336852464617,0.509346708286099,6.11239892637425
2007,9,83,6.67994258582892,0.546808557202041,6.58454911672942
2008,3,48,8.27930896736318,0.880312668792054,8.22375615351958
2008,5,209,6.57241498695908,0.599720779628499,6.52133330854886
2008,6,186,7.53084499351185,0.739649903102587,7.40334968031781
2008,7,214,5.44103653174472,0.430169850765645,5.32924240113951
2008,8,50,8.30756006460265,0.862585293561361,8.16833080016786
2008,9,73,4.4129405538532,0.39072193160844,4.37323675981144
2009,2,119,6.16265713255846,0.502350551598017,6.06743280372672
2009,4,142,6.40359166416778,0.576185039042638,6.34103090067607
2009,5,167,5.91120798978309,0.531574690399927,5.80431177672439
2009,6,260,5.31132110874913,0.409317900011558,5.13254370335447
2009,7,156,6.21411586146942,0.568846354412187,6.08388269882095
2009,8,184,6.52187462552554,0.603961227504247,6.43426789844832
2009,9,94,5.93091020867149,0.520709541117806,5.83251212299242
2010,1,43,4.59450945089086,0.402101187457012,4.55088615370033
2010,3,41,7.85954260839399,0.869006974413767,7.75014282003269
2010,4,125,7.53933171872756,0.801753509349491,7.4342475845386
2010,5,172,5.54883803309341,0.473673528522821,5.45722586834501
2010,6,224,4.61577898543023,0.374743064929533,4.51005848217596
2010,7,187,5.297998788788,0.461190568279193,5.21589685715826
2010,8,79,7.16652707039703,0.765816616871079,7.12340007705505
2011,2,21,5.09698285586667,0.447522263058592,4.9766554618974
2011,4,107,5.94409023655036,0.598882285331955,5.85648009784762
2011,5,153,5.67512301351034,0.514221721673615,5.59137734485907
2011,6,163,6.620195395769,0.654841500417972,6.56046048347586
2011,7,192,6.63977970349384,0.666457104843233,6.58028777466166
2011,8,181,6.17678967215165,0.61648536248539,6.11528886544643
2011,9,108,5.18546153966035,0.435504489835185,5.08164482637678
2013,1,88,4.91723637410635,0.378948709517165,4.770171740714
2013,3,122,5.41212854871552,0.465631405539929,5.36163160125372
2013,4,134,4.07303794528241,0.334536862636235,4.01315380832415
2013,5,202,5.61430236933502,0.488796178243298,5.57318788847767
2013,6,228,4.68140143434969,0.407482157566843,4.59354307654949
2013,7,228,4.34162674312928,0.345005488739537,4.25633633132232
2013,8,164,4.38901892247282,0.338507618305187,4.26765366581365
2014,1,33,3.91184896320146,0.313861461987822,3.82144125952164
2014,2,74,4.19910469278543,0.382440892168931,4.15583955442882
2014,3,75,5.35436388977535,0.466830076055319,5.31209696870422
2014,4,129,5.5777750324148,0.525603367572146,5.4874044592487
2014,5,277,5.5343882678622,0.508913402570117,5.46709215567716
2014,6,223,4.43766014050522,0.345159436913364,4.33142920955848
2014,7,191,4.72055010935745,0.414385049418213,4.63141122257346
2014,8,87,5.11688239382144,0.498627305805069,4.99576601814683
