"year","epoch","hours","cell_mean","cell_sd","station_mean"
2006,1,136,5.94097305681247,0.49450752968641,5.86704189439735
2006,2,136,5.21876442386238,0.48834881517294,5.11959284765919
2006,3,136,6.57217379239663,0.597296288350901,6.43210145286361
2006,4,136,5.76670748586852,0.518549641485382,5.64667111848135
2006,5,136,7.76468951018402,0.807621492306892,7.6697159721636
2006,6,136,6.07121169662487,0.55565204292974,6.02092617895446
2006,7,136,4.9845968874777,0.457023600638978,4.88952562206918
2006,8,136,5.76464443483079,0.447138476824924,5.6201337267191
2007,1,136,6.74636509538438,0.627498881712272,6.63843118103542
2007,2,136,6.31297957250354,0.544939841291989,6.16296413982823
2007,4,136,7.28926319255512,0.658474270754697,7.17761851776486
2007,5,136,5.41609027914207,0.439243542187997,5.33646459056056
2007,6,136,7.00997670729958,0.703969695339751,6.95890144647631
2007,7,136,6.91430791683731,0.699675719055809,6.84286612142302
2007,8,136,6.26948221707992,0.530747389873616,6.19013589242192
2007,9,136,7.6337554328007,0.631635313939431,7.49919870026182
2008,3,136,8.18504908898358,0.837111855450615,8.07107244705831
2008,5,136,7.46151669434511,0.703377219579811,7.44076042155895
2008,6,136,8.17502188352185,0.828561201230698,8.07513304130413
2008,7,136,6.42365162602917,0.580254565500721,6.3310140389106
2008,8,136,7.74781572603918,0.719207647088412,7.63014226483467
2008,9,136,5.64464301262205,0.449825365222467,5.54249162051426
2009,1,136,7.82990768190844,0.811404953955425,7.72515137617909
2009,2,136,6.2871344364357,0.52485252092068,6.18913271056037
2009,4,136,6.76712047998956,0.66373518968408,6.68516483839153
2009,5,136,7.08766766762648,0.701142278500814,6.97080035837057
2009,6,136,5.45318239407889,0.438438532854523,5.30622920929682
2009,7,136,6.29786327025562,0.578404325955561,6.18375429067343
2009,8,136,7.82278606974849,0.777422801749868,7.72426243440261
2009,9,136,7.13215744018433,0.642350922302831,7.02847881143199
2010,1,136,4.82782678702522,0.417465776797033,4.78404788672446
2010,2,136,7.36533891447864,0.684529232929664,7.15865021138585
2010,3,136,5.84015598003953,0.601651114310462,5.74652791725679
2010,4,136,8.09205697880612,0.881813749318262,7.96990654508174
2010,5,136,6.62299206475068,0.584099261947091,6.57424665682443
2010,6,136,4.85652704196708,0.41644545974039,4.77121902687304
2010,7,136,5.61007836406558,0.499132817410052,5.53680034747067
2010,8,136,6.87345035259977,0.674380081663848,6.82628170406056
2011,2,136,6.7104244253996,0.546272877000029,6.54236445430943
2011,4,136,7.14466940298387,0.748209140489006,7.04502766540801
2011,5,136,6.70224305408849,0.669866977524014,6.6246418383509
2011,6,136,7.75236493182459,0.82251322044086,7.67750485348691
2011,7,136,7.46979855003585,0.785455523447992,7.42443577636746
2011,8,136,7.08969436270109,0.695886359723194,7.02465919544585
2011,9,136,6.90393280789123,0.627932794141024,6.76822729111377
2013,1,136,5.14346674119041,0.41308851466167,5.03957089480533
2013,3,136,5.79867264742095,0.495180091802936,5.73642080146828
2013,4,136,4.73227530351798,0.435032656325683,4.64516932387402
2013,5,136,6.42679088894312,0.564382768120297,6.38421877330777
2013,6,136,5.45244824794114,0.501785503890421,5.37432748495986
2013,7,136,4.76866358722953,0.407712625809369,4.70679082849027
2013,8,136,4.28714704654242,0.335095450651542,4.1780033367941
2014,1,136,4.8857479856702,0.42867305483204,4.77780948611392
2014,2,136,4.95472020359679,0.452439968889483,4.89248075899345
2014,3,136,6.01086913402705,0.547473971177387,5.93089896383785
2014,4,136,6.52026281920247,0.664241927142698,6.41524012708882
2014,5,136,6.631955733597,0.668441797696487,6.58381239459171
2014,6,136,5.11754878316274,0.44973613734174,5.03897463871013
2014,7,136,5.29532995466681,0.478322427760645,5.19607033155787
2014,8,136,5.00957610211866,0.438261860497896,4.87075226147305
