"year","epoch","hours","cell_mean","cell_sd","station_mean"
2006,1,408,4.88252008101069,0.391813184705972,4.80142746365395
2006,2,408,4.64632687630886,0.383093953036282,4.53594745865642
2006,3,408,5.63678844440972,0.465775168596052,5.50708032133486
2006,4,408,4.78827037123444,0.372048517325552,4.66298781017787
2006,5,408,5.24740100882706,0.451004357125383,5.14943447756543
2006,6,408,4.72218586040025,0.37856507788444,4.63908950953533
2006,7,408,3.98645851330256,0.309396919371123,3.86566216976248
2006,8,408,4.75054842537401,0.376004619414916,4.62293510771464
2007,1,408,5.51278582030341,0.468860034302398,5.41067611601405
2007,2,408,5.11500823636225,0.411127056140092,4.97440001722816
2007,4,408,5.33448041370849,0.460350914212471,5.2348390792981
2007,5,408,4.764331867343,0.396967313825473,4.68063808074625
2007,6,408,5.39621941665836,0.437089048099194,5.2901841378177
2007,7,408,5.54645166255474,0.466606905067818,5.43231993610118
2007,8,407,5.43490775453274,0.431046558579318,5.32294708526903
2007,9,406,5.89593112525429,0.47382845026271,5.74188968439685
2008,3,405,6.836264181056,0.632448331164585,6.69828746680582
2008,5,406,5.96892053136197,0.47191309303864,5.84977395206983
2008,6,408,6.20877726102171,0.511417422152579,6.06523704158765
2008,7,407,5.70054789652004,0.447491638434033,5.56530999711076
2008,8,407,6.132806429818,0.521616744986647,5.95331230911713
2008,9,407,5.33511815983445,0.422386662653091,5.18360277533088
2009,1,408,6.44002753177654,0.62172669751737,6.29830296697754
2009,2,408,5.59030062481545,0.43348541021782,5.45183946253335
2009,4,408,5.5991615480337,0.468769461611569,5.48447064493973
2009,5,407,5.1031406185594,0.417856287176569,4.97300533871773
2009,6,408,5.00663696766946,0.391873196558014,4.83040996107345
2009,7,408,5.27152921288175,0.430070586264321,5.10635938697131
2009,8,408,5.36192555675842,0.434145174721753,5.24035556522701
2009,9,408,5.41569914394019,0.423833661017897,5.27685535317662
2010,1,408,4.70490325712255,0.369648434588959,4.59472346092796
2010,2,408,6.22676095266289,0.541858758422232,6.03537095327584
2010,3,408,4.69822231535578,0.408015431744998,4.5818874055581
2010,4,406,5.78205718047486,0.529596965643136,5.66590684499175
2010,5,408,4.99551858260623,0.396636817222848,4.90358913994913
2010,6,408,4.17814780695147,0.322521291187283,4.06560014530212
2010,7,408,4.73952684386606,0.368516182618141,4.62307564501243
2010,8,408,5.35793309643894,0.434803491309407,5.23220034866303
2011,2,405,5.84283237390088,0.455044390290266,5.67727712975398
2011,4,406,5.49756162185575,0.492719407064951,5.3836323219026
2011,5,408,5.312490114923,0.445161570225241,5.21415518871758
2011,6,407,5.60388395525507,0.4839714110457,5.49562058753597
2011,7,406,5.16647813583945,0.42283517365382,5.05333036864764
2011,8,408,5.41533618475589,0.42920121341702,5.30216870958528
2011,9,407,5.71598716623443,0.462801071772048,5.5501010221869
2013,1,408,4.63562922973764,0.359719874975751,4.51990253575331
2013,3,408,4.57331450044535,0.367268315876393,4.49908412761234
2013,4,408,4.34583044130182,0.346320116972121,4.25595181144518
2013,5,408,4.67969357564774,0.382077704732744,4.61478428612547
2013,6,408,4.06610217547483,0.319747513427929,3.95898731154698
2013,7,408,3.87302426147409,0.30161435132575,3.77973560151784
2013,8,408,3.96125403915127,0.313608528919397,3.85349738219388
2014,1,408,4.17651008956058,0.324232581001165,4.05822483141656
2014,2,408,4.18860586404242,0.350369615736404,4.11751435070371
2014,3,408,4.70719728421578,0.383877814302067,4.62004427089348
2014,4,408,4.91807338633804,0.434903364357428,4.83162213650503
2014,5,408,4.84745896273554,0.416617347645945,4.78644903068637
2014,6,408,4.60122458953463,0.368263603416779,4.51706944874307
2014,7,408,3.94202150457835,0.316125216387108,3.86338224880971
2014,8,408,3.64978560500363,0.289478476337853,3.55148181937287
